n,b,z,warmup,operations,rng,initialization,post_min,post_mean,post_max,insertion_failure_s20,insertion_failure_s64,insertion_failure_s128
64,2,6,8388608,4194304,os-getrandom,random-old-and-new-paths,0,0.041241407,22,0.00000238418579,0,0
256,2,6,8388608,4194304,os-getrandom,random-old-and-new-paths,0,0.157924175,47,0.000186920166,0,0
1024,2,6,33554432,16777216,os-getrandom,random-old-and-new-paths,0,0.773199558,128,0.00622361898,0.000134289265,0.000000357627869
4096,2,6,33554432,16777216,os-getrandom,random-old-and-new-paths,0,6.288406909,395,0.0971111059,0.0190706849,0.0035918355
16384,2,6,33554432,8388608,os-getrandom,random-old-and-new-paths,0,207.214232802,1126,0.826027751,0.713458538,0.574434042
65536,2,6,33554432,8388608,os-getrandom,random-old-and-new-paths,2479,4314.083236217,6585,1,1,1
262144,2,6,33554432,8388608,os-getrandom,random-old-and-new-paths,25271,29660.358485222,35751,1,1,1
64,2,7,8388608,4194304,os-getrandom,random-old-and-new-paths,0,0.010073900,16,0,0,0
256,2,7,8388608,4194304,os-getrandom,random-old-and-new-paths,0,0.028745651,26,0.0000128746033,0,0
1024,2,7,33554432,16777216,os-getrandom,random-old-and-new-paths,0,0.075613260,49,0.000114619732,0,0
4096,2,7,33554432,16777216,os-getrandom,random-old-and-new-paths,0,0.222021639,112,0.00105208158,0.0000212788582,0
16384,2,7,33554432,8388608,os-getrandom,random-old-and-new-paths,0,0.762324810,116,0.00829565525,0.000572085381,0
65536,2,7,33554432,8388608,os-getrandom,random-old-and-new-paths,0,3.667996526,366,0.0504715443,0.0123794079,0.00285363197
262144,2,7,33554432,8388608,os-getrandom,random-old-and-new-paths,0,41.406092763,1660,0.256717682,0.147416234,0.0856540203
