b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,0,2317104,0.55244064331054688,0.856108632,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,1,778700,0.18565654754638672,2.429291899,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,2,278322,0.06635713577270508,3.913604574,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,3,98011,0.02336764335632324,5.419343945,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,4,33895,0.00808119773864746,6.951215150,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,5,11635,0.00277400016784668,8.493816410,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,6,4115,0.00098109245300293,9.993323285,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,7,1419,0.00033831596374512,11.529341126,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,8,420,0.00010013580322266,13.285754482,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,9,112,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,10,32,0.00000762939453125,17.000000000,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,11,13,0.00000309944152832,18.299560282,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,12,1,0.00000023841857910,22.000000000,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,post,13,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,1,2317104,0.55244064331054688,0.856108632,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,2,778700,0.18565654754638672,2.429291899,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,3,278322,0.06635713577270508,3.913604574,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,4,98011,0.02336764335632324,5.419343945,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,5,33895,0.00808119773864746,6.951215150,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,6,11635,0.00277400016784668,8.493816410,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,7,4115,0.00098109245300293,9.993323285,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,8,1419,0.00033831596374512,11.529341126,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,9,420,0.00010013580322266,13.285754482,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,10,112,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,11,32,0.00000762939453125,17.000000000,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,12,13,0.00000309944152832,18.299560282,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,13,1,0.00000023841857910,22.000000000,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,1024,1048576,4194304,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,14,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,2
