b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,2956282,0.70483255386352539,0.504647536,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,1175966,0.28037214279174805,1.834585082,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,365426,0.08712434768676758,3.520780240,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,101502,0.02419996261596680,5.368851371,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,26293,0.00626873970031738,7.317608859,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,6311,0.00150465965270996,9.376347092,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,1346,0.00032091140747070,11.605537305,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,226,0.00005388259887695,14.179821038,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,37,0.00000882148742676,16.790546634,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,4,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,1,2956282,0.70483255386352539,0.504647536,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,2,1175967,0.28037238121032715,1.834583855,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,3,365427,0.08712458610534668,3.520776292,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,4,101502,0.02419996261596680,5.368851371,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,5,26293,0.00626873970031738,7.317608859,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,6,6311,0.00150465965270996,9.376347092,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,7,1346,0.00032091140747070,11.605537305,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,8,226,0.00005388259887695,14.179821038,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,9,37,0.00000882148742676,16.790546634,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,10,4,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,1024,1048576,4194304,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,11,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,16
