b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,0,1020802,0.97351264953613281,0.038728370,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,1,964033,0.91937351226806641,0.121276993,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,2,887990,0.84685325622558594,0.239816096,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,3,795846,0.75897789001464844,0.397870236,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,4,696772,0.66449356079101562,0.589672876,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,5,596813,0.56916522979736328,0.813080564,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,6,501363,0.47813701629638672,1.064503995,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,7,413719,0.39455318450927734,1.341708311,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,8,334286,0.31879997253417969,1.649276590,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,9,264558,0.25230216979980469,1.986775481,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,10,205694,0.19616508483886719,2.349859814,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,11,157976,0.15065765380859375,2.730654127,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,12,119435,0.11390209197998047,3.134133850,fixed,1,access-plus-rate-deterministic,2,2
2,2,1,262144,8388608,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,13,88536,0.08443450927734375,3.566023426,fixed,1,access-plus-rate-deterministic,2,2
