b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,738981,0.70474720001220703,0.504822254,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,293832,0.28022003173828125,1.835368003,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,91292,0.08706283569335938,3.521799179,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,25180,0.02401351928710938,5.380009337,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,6563,0.00625896453857422,7.319860282,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,1581,0.00150775909423828,9.373378348,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,297,0.00028324127197266,11.785680879,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,56,0.00005340576171875,14.192645078,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,8,0.00000762939453125,17.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,1,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,1,738982,0.70474815368652344,0.504820302,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,2,293832,0.28022003173828125,1.835368003,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,3,91292,0.08706283569335938,3.521799179,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,4,25180,0.02401351928710938,5.380009337,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,5,6563,0.00625896453857422,7.319860282,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,6,1581,0.00150775909423828,9.373378348,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,7,297,0.00028324127197266,11.785680879,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,8,56,0.00005340576171875,14.192645078,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,9,8,0.00000762939453125,17.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,10,1,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,3,16
2,8,1,262144,8388608,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,11,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,16
