b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,30980654,0.92329543828964233,0.115135736,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,25984518,0.77439898252487183,0.368851038,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,20799512,0.61987376213073730,0.689953656,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,16007546,0.47706204652786255,1.067751180,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,11866058,0.35363608598709106,1.499662596,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,8504486,0.25345343351364136,1.980207387,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,5914562,0.17626768350601196,2.504160096,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,4006808,0.11941218376159668,3.065978051,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,2652064,0.07903766632080078,3.661315839,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,1718521,0.05121591687202454,4.287263949,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,1092260,0.03255188465118408,4.941115116,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,681248,0.02030277252197266,5.622179436,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,418493,0.01247206330299377,6.325156034,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,252655,0.00752970576286316,7.053190795,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,149738,0.00446254014968872,7.807919135,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,87595,0.00261053442955017,8.581439099,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,51250,0.00152736902236938,9.354735616,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,29641,0.00088337063789368,10.144693500,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,16905,0.00050380825996399,10.954837604,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,9490,0.00028282403945923,11.787807628,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,5252,0.00015652179718018,12.641348799,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,21,2780,0.00008285045623779,13.559130832,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,22,1426,0.00004249811172485,14.522241734,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,23,753,0.00002244114875793,15.443493945,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,24,386,0.00001150369644165,16.407542963,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,25,206,0.00000613927841187,17.313499473,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,26,117,0.00000348687171936,18.129635280,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,27,51,0.00000151991844177,19.327574658,fixed,1,access-plus-rate-deterministic,1,2
2,3,1,1048576,0,33554432,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,28,27,0.00000080466270447,20.245112498,fixed,1,access-plus-rate-deterministic,1,2
