b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,0,32102,0.48983764648437500,1.029624438,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,1,7911,0.12071228027343750,3.050355643,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,2,1855,0.02830505371093750,5.142796528,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,3,590,0.00900268554687500,6.795428856,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,4,171,0.00260925292968750,8.582147485,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,5,45,0.00068664550781250,10.508146904,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,6,5,0.00007629394531250,13.678071905,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,post,7,0,0.00000000000000000,inf,0,0.651229858,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,1,32103,0.48985290527343750,1.029579498,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,2,7911,0.12071228027343750,3.050355643,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,3,1855,0.02830505371093750,5.142796528,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,4,590,0.00900268554687500,6.795428856,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,5,171,0.00260925292968750,8.582147485,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,6,45,0.00068664550781250,10.508146904,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,7,5,0.00007629394531250,13.678071905,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,0,0,65536,cycle,3,insertion,8,0,0.00000000000000000,inf,1,1.651245117,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,0,30965,0.47248840332031250,1.081649174,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,1,6808,0.10388183593750000,3.266984678,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,2,1426,0.02175903320312500,5.522241734,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,3,373,0.00569152832031250,7.456968180,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,4,102,0.00155639648437500,9.327574658,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,5,34,0.00051879882812500,10.912537159,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,6,12,0.00018310546875000,12.415037499,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,7,1,0.00001525878906250,16.000000000,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,1,65536,131072,cycle,3,post,8,0,0.00000000000000000,inf,0,0.606094360,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
