b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,39306,0.03748512268066406,4.737538066,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,10622,0.01012992858886719,6.625232186,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,3464,0.00330352783203125,8.241776785,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,1178,0.00112342834472656,9.797876176,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,437,0.00041675567626953,11.228510530,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,5,136,0.00012969970703125,12.912537159,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,6,35,0.00003337860107422,14.870716983,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,7,3,0.00000286102294922,18.415037499,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,8,0,0.00000000000000000,inf,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,39306,0.03748512268066406,4.737538066,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,10622,0.01012992858886719,6.625232186,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,3464,0.00330352783203125,8.241776785,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,1178,0.00112342834472656,9.797876176,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,437,0.00041675567626953,11.228510530,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,6,136,0.00012969970703125,12.912537159,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,7,35,0.00003337860107422,14.870716983,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,8,3,0.00000286102294922,18.415037499,fixed,1,paper-deterministic
2,1,2,1024,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,9,0,0.00000000000000000,inf,fixed,1,paper-deterministic
