b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,11154,0.00265932083129883,8.554726444,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,1169,0.00027871131896973,11.808940785,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,125,0.00002980232238770,15.034215715,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,11,0.00000262260437012,18.540568381,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,11154,0.00265932083129883,8.554726444,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,1169,0.00027871131896973,11.808940785,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,125,0.00002980232238770,15.034215715,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,11,0.00000262260437012,18.540568381,fixed,1,access-plus-paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
