b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,153208,0.03652763366699219,4.774867894,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,40214,0.00958776473999023,6.704589775,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,11915,0.00284075736999512,8.459508669,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,3437,0.00081944465637207,10.253065864,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,950,0.00022649765014648,12.108216297,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,5,316,0.00007534027099609,13.696219252,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,6,121,0.00002884864807129,15.081136763,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,7,53,0.00001263618469238,16.272079545,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,8,17,0.00000405311584473,17.912537159,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,9,0,0.00000000000000000,inf,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,153208,0.03652763366699219,4.774867894,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,40214,0.00958776473999023,6.704589775,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,11915,0.00284075736999512,8.459508669,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,3437,0.00081944465637207,10.253065864,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,950,0.00022649765014648,12.108216297,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,6,316,0.00007534027099609,13.696219252,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,7,121,0.00002884864807129,15.081136763,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,8,53,0.00001263618469238,16.272079545,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,9,17,0.00000405311584473,17.912537159,fixed,1,paper-deterministic
2,1,2,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,10,0,0.00000000000000000,inf,fixed,1,paper-deterministic
