load_percent,gap,replicates,operations_per_replicate,total_operations,metric,samples,threshold,exceed_count,probability,log2_inverse
110,5,4,1073741824,4294967296,post,4294967296,0,4294103414,0.999798861798,0.000290210273869
110,5,4,1073741824,4294967296,post,4294967296,1,4281785850,0.996930955444,0.00443450369267
110,5,4,1073741824,4294967296,post,4294967296,2,4211136553,0.980481634149,0.0284374879986
110,5,4,1073741824,4294967296,post,4294967296,3,3984861983,0.927797980374,0.108117389148
110,5,4,1073741824,4294967296,post,4294967296,4,3511201285,0.817515255185,0.290682442718
110,5,4,1073741824,4294967296,post,4294967296,5,2796955676,0.651216990314,0.618789754739
110,5,4,1073741824,4294967296,post,4294967296,6,1974313391,0.459680657601,1.12129613304
110,5,4,1073741824,4294967296,post,4294967296,7,1225734940,0.285388655029,1.80900010996
110,5,4,1073741824,4294967296,post,4294967296,8,673336774,0.156773434486,2.67324698175
110,5,4,1073741824,4294967296,post,4294967296,9,332882614,0.0775052732788,3.68956171843
110,5,4,1073741824,4294967296,post,4294967296,10,151577383,0.0352918596473,4.82452073718
110,5,4,1073741824,4294967296,post,4294967296,11,65146336,0.0151680633426,6.04281929565
110,5,4,1073741824,4294967296,post,4294967296,12,27035402,0.0062946700491,7.31165352721
110,5,4,1073741824,4294967296,post,4294967296,13,11050072,0.00257279537618,8.60244756584
110,5,4,1073741824,4294967296,post,4294967296,14,4508027,0.00104960682802,9.89593527438
110,5,4,1073741824,4294967296,post,4294967296,15,1856033,0.000432141358033,11.1762090691
110,5,4,1073741824,4294967296,post,4294967296,16,775512,0.000180562958121,12.4352104204
110,5,4,1073741824,4294967296,post,4294967296,17,329383,7.66904558986e-05,13.6705934284
110,5,4,1073741824,4294967296,post,4294967296,18,142768,3.32407653332e-05,14.8766868754
110,5,4,1073741824,4294967296,post,4294967296,19,63080,1.46869570017e-05,16.0551049603
110,5,4,1073741824,4294967296,post,4294967296,20,27918,6.50016590953e-06,17.2310920275
110,5,4,1073741824,4294967296,post,4294967296,21,12373,2.88081355393e-06,18.4050922769
110,5,4,1073741824,4294967296,post,4294967296,22,5431,1.26450322568e-06,19.5929978521
110,5,4,1073741824,4294967296,post,4294967296,23,2315,5.39002940059e-07,20.8232035219
110,5,4,1073741824,4294967296,post,4294967296,24,968,2.25380063057e-07,22.0811367627
110,5,4,1073741824,4294967296,post,4294967296,25,364,8.475035429e-08,23.4922053598
110,5,4,1073741824,4294967296,post,4294967296,26,115,2.67755240202e-08,25.1545099491
110,5,4,1073741824,4294967296,post,4294967296,27,39,9.0803951025e-09,26.7145977811
110,5,4,1073741824,4294967296,post,4294967296,28,8,1.86264514923e-09,29
110,5,4,1073741824,4294967296,post,4294967296,29,0,0,inf
110,5,4,1073741824,4294967296,insertion,4294967296,0,4294967296,1,-0
110,5,4,1073741824,4294967296,insertion,4294967296,1,4294103414,0.999798861798,0.000290210273869
110,5,4,1073741824,4294967296,insertion,4294967296,2,4281785850,0.996930955444,0.00443450369267
110,5,4,1073741824,4294967296,insertion,4294967296,3,4211136553,0.980481634149,0.0284374879986
110,5,4,1073741824,4294967296,insertion,4294967296,4,3984861983,0.927797980374,0.108117389148
110,5,4,1073741824,4294967296,insertion,4294967296,5,3511201285,0.817515255185,0.290682442718
110,5,4,1073741824,4294967296,insertion,4294967296,6,2796955677,0.651216990547,0.618789754223
110,5,4,1073741824,4294967296,insertion,4294967296,7,1974313391,0.459680657601,1.12129613304
110,5,4,1073741824,4294967296,insertion,4294967296,8,1225734939,0.285388654796,1.80900011114
110,5,4,1073741824,4294967296,insertion,4294967296,9,673336772,0.156773434021,2.67324698603
110,5,4,1073741824,4294967296,insertion,4294967296,10,332882613,0.077505273046,3.68956172276
