load_percent,replicate,metric,samples,mean,maximum,ks_vs_combined,seconds
110,0,post,1073741824,6.41212733928,29,0.000315250596032,11817.977
110,0,insertion,1073741824,7.41212734208,30,0.000315249664709,11817.977
110,0,pre_batch,214748365,8.37959933711,30,0.000348640605483,11817.977
110,1,post,1073741824,6.41590095777,29,0.000234303297475,11969.435
110,1,insertion,1073741824,7.41590095684,30,0.000234303297475,11969.435
110,1,pre_batch,214748365,8.38339399697,29,0.00025775982043,11969.435
110,2,post,1073741824,6.41525912751,29,0.000170466722921,11833.903
110,2,insertion,1073741824,7.41525912564,30,0.000170465791598,11833.903
110,2,pre_batch,214748365,8.38274015264,30,0.00021907035241,11833.903
110,3,post,1073741824,6.41357476637,29,9.39853489399e-05,11874.124
110,3,insertion,1073741824,7.41357476357,30,9.39860474318e-05,11874.124
110,3,pre_batch,214748365,8.38100355269,30,0.000120401382334,11874.124
120,0,post,1073741824,6.87560905889,37,0.000543618341908,11929.458
120,0,insertion,1073741824,7.87560905609,38,0.000543618109077,11929.458
120,0,pre_batch,214748365,8.84473507866,37,0.000566457164878,11929.458
120,1,post,1073741824,6.88632043079,35,0.000797532964498,11846.194
120,1,insertion,1073741824,7.88632042985,36,0.000797533197328,11846.194
120,1,pre_batch,214748365,8.8554770091,36,0.000836137914251,11846.194
120,2,post,1073741824,6.88295704406,36,0.000263018999249,11873.922
120,2,insertion,1073741824,7.88295703754,37,0.000263018999249,11873.922
120,2,pre_batch,214748365,8.85212672981,37,0.000267314025883,11873.922
120,3,post,1073741824,6.8759083841,40,0.000553410965949,11733.289
120,3,insertion,1073741824,7.87590838503,41,0.000553410733119,11733.289
120,3,pre_batch,214748365,8.84507904402,41,0.000566438538426,11733.289
