gap,load_percent,window,blocks_per_probability_bit
5,100,4_8,0.771372338
5,100,8_12,0.694712629
5,100,12_16,0.750097258
5,105,4_8,0.765997956
5,105,8_12,0.658437711
5,105,12_16,nan
5,110,4_8,0.767260954
5,110,8_12,nan
5,110,12_16,0.673374155
5,115,4_8,0.880388359
5,115,8_12,1.104312569
5,115,12_16,0.874102972
5,120,4_8,1.335019942
5,120,8_12,1.212527511
5,120,12_16,0.845553444
5,125,4_8,1.916036940
5,125,8_12,1.487191500
5,125,12_16,1.135011192
6,100,4_8,1.318983158
6,100,8_12,1.224285227
6,100,12_16,1.026135501
6,105,4_8,1.491288142
6,105,8_12,1.415802759
6,105,12_16,1.091282019
6,110,4_8,1.744999235
6,110,8_12,1.542911762
6,110,12_16,1.309965254
6,115,4_8,2.026861774
6,115,8_12,1.976191755
6,115,12_16,1.466561090
6,120,4_8,3.090088204
6,120,8_12,2.209640088
6,120,12_16,1.294765186
6,125,4_8,4.686169242
6,125,8_12,2.770252300
6,125,12_16,2.044143759
