b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,samples,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,0,16777052,0.99999022483825684,0.000014103,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,1,16773916,0.99980330467224121,0.000283799,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,2,16748567,0.99829238653182983,0.002465671,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,3,16631439,0.99131101369857788,0.012590336,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,4,16271943,0.96988338232040405,0.044116805,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,5,15474359,0.92234367132186890,0.116623686,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,6,14099266,0.84038174152374268,0.250883277,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,7,12165288,0.72510766983032227,0.463732861,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,8,9878549,0.58880740404129028,0.764132282,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,9,7549363,0.44997709989547729,1.152076513,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,10,5459283,0.32539862394332886,1.619719945,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,11,3765876,0.22446370124816895,2.155445934,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,12,2499906,0.14900600910186768,2.746557582,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,13,1609348,0.09592461585998535,3.381955107,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,14,1010362,0.06022226810455322,4.053559146,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,15,621689,0.03705555200576782,4.754166473,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,16,375860,0.02240300178527832,5.480164137,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,17,222951,0.01328891515731812,6.233632855,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,18,130375,0.00777095556259155,7.007692273,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,19,75575,0.00450462102890015,7.794378547,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,20,43233,0.00257688760757446,8.600154670,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,21,24510,0.00146090984344482,9.418917136,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,22,13930,0.00083029270172119,10.234092363,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16777216,23,7931,0.00047272443771362,11.046712932,fixed,1,access-plus-rate-deterministic,1,6
