gap,load_percent,operations,pre_batch_samples,pre_batch_mean,pre_batch_max,slope_bits_4_8,slope_bits_8_12,slope_bits_12_16
5,100,16777216,3355443,8.340254029,25,0.771372338,0.694712629,0.750097258
5,105,16777216,3355443,8.345270356,22,0.765997956,0.658437711,nan
5,110,16777216,3355443,8.368280433,23,0.767260954,nan,0.673374155
5,115,16777216,3355444,8.442529513,28,0.880388359,1.104312569,0.874102972
5,120,16777216,3355443,8.922724064,28,1.335019942,1.212527511,0.845553444
5,125,16777216,3355443,10.254406944,37,1.916036940,1.487191500,1.135011192
6,100,16777216,2796202,11.565248147,37,1.318983158,1.224285227,1.026135501
6,105,16777216,2796202,11.821817594,37,1.491288142,1.415802759,1.091282019
6,110,16777216,2796202,12.422404390,40,1.744999235,1.542911762,1.309965254
6,115,16777216,2796203,13.793435598,48,2.026861774,1.976191755,1.466561090
6,120,16777216,2796203,17.963907842,60,3.090088204,2.209640088,1.294765186
6,125,16777216,2796203,33.774287489,97,4.686169242,2.770252300,2.044143759
