b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,769326,0.73368644714355469,0.446764459,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,259314,0.24730110168457031,2.015659428,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,35791,0.03413295745849609,4.872690767,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,2719,0.00259304046630859,8.591139564,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,464,0.00044250488281250,11.142019005,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,79,0.00007534027099609,13.696219252,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,21,0.00002002716064453,15.607682577,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,6,0.00000572204589844,17.415037499,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,1,769326,0.73368644714355469,0.446764459,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,2,259314,0.24730110168457031,2.015659428,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,3,35791,0.03413295745849609,4.872690767,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,4,2719,0.00259304046630859,8.591139564,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,5,464,0.00044250488281250,11.142019005,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,6,79,0.00007534027099609,13.696219252,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,7,21,0.00002002716064453,15.607682577,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,8,6,0.00000572204589844,17.415037499,fixed,1,access-plus-one-deterministic
4,3,2,16384,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,9,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
