b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,279253,0.06657910346984863,3.908786746,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,33853,0.00807118415832520,6.953003932,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,3683,0.00087809562683105,10.153334318,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,400,0.00009536743164062,13.356143810,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,35,0.00000834465026855,16.870716983,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,1,0.00000023841857910,22.000000000,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,0,0.00000000000000000,inf,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,1,279253,0.06657910346984863,3.908786746,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,2,33853,0.00807118415832520,6.953003932,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,3,3683,0.00087809562683105,10.153334318,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,4,400,0.00009536743164062,13.356143810,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,5,35,0.00000834465026855,16.870716983,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,6,1,0.00000023841857910,22.000000000,fixed,1,access-plus-radix-deterministic
4,3,1,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,7,0,0.00000000000000000,inf,fixed,1,access-plus-radix-deterministic
