b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,3525121,0.84045433998107910,0.250758652,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,1980503,0.47218871116638184,1.082564544,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,1025729,0.24455285072326660,2.031781813,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,534416,0.12741470336914062,2.972396324,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,284049,0.06772255897521973,3.884219702,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,154703,0.03688406944274902,4.760858352,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,85874,0.02047395706176758,5.610066227,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,48328,0.01152229309082031,6.439428329,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,27612,0.00658321380615234,7.246992231,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,15792,0.00376510620117188,8.053093726,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,8955,0.00213503837585449,8.871522283,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,5052,0.00120449066162109,9.697361076,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,2871,0.00068449974060059,10.512662385,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,1685,0.00040173530578613,11.281467124,fixed,1,same
2,2,3,1024,1048576,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,999,0.00023818016052246,12.035659132,fixed,1,same
