b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,255602,0.97504425048828125,0.036460401,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,231718,0.88393402099609375,0.177989408,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,205227,0.78287887573242188,0.353138979,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,181060,0.69068908691406250,0.533891666,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,159636,0.60896301269531250,0.715573491,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,140123,0.53452682495117188,0.903665744,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,122323,0.46662521362304688,1.099663831,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,106006,0.40438079833984375,1.306213601,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,91612,0.34947204589843750,1.516751035,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,78615,0.29989242553710938,1.737483011,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,67219,0.25642013549804688,1.963418540,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,57552,0.21954345703125000,2.187421556,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,49052,0.18711853027343750,2.417975660,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,41868,0.15971374511718750,2.646439617,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,35706,0.13620758056640625,2.876121097,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,30360,0.11581420898437500,3.110115830,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,25685,0.09798049926757812,3.351361547,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,21698,0.08277130126953125,3.594725551,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,18270,0.06969451904296875,3.842810986,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,15392,0.05871582031250000,4.090106916,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,12849,0.04901504516601562,4.350631537,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,10739,0.04096603393554688,4.609427963,fixed,1,same
2,2,3,1048576,262144,262144,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,8865,0.03381729125976562,4.886095084,fixed,1,same
