b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,5488,0.00523376464843750,7.577935234,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,460,0.00043869018554688,11.154509949,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,48,0.00004577636718750,14.415037499,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,7,0.00000667572021484,17.192645078,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,1,0.00000095367431641,20.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,5,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,5488,0.00523376464843750,7.577935234,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,460,0.00043869018554688,11.154509949,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,48,0.00004577636718750,14.415037499,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,7,0.00000667572021484,17.192645078,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,1,0.00000095367431641,20.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1048576,33554432,1048576,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,6,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
