b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,266497,0.25415134429931641,1.976240233,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,720,0.00068664550781250,10.508146904,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,38,0.00003623962402344,14.752072487,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,5,0.00000476837158203,17.678071905,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,1,0.00000095367431641,20.000000000,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,1,266497,0.25415134429931641,1.976240233,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,2,720,0.00068664550781250,10.508146904,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,3,38,0.00003623962402344,14.752072487,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,4,5,0.00000476837158203,17.678071905,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,5,1,0.00000095367431641,20.000000000,fixed,1,access-plus-one-deterministic
2,3,1,16384,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,6,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
