b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,1389474,0.33127641677856445,1.593892592,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,129748,0.03093433380126953,5.014647225,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,26838,0.00639867782592773,7.288010456,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,6038,0.00143957138061523,9.440144958,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,1413,0.00033688545227051,11.535454250,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,5,343,0.00008177757263184,13.577935234,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,6,78,0.00001859664916992,15.714597781,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,7,12,0.00000286102294922,18.415037499,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,8,2,0.00000047683715820,21.000000000,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,9,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,1389474,0.33127641677856445,1.593892592,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,129748,0.03093433380126953,5.014647225,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,26838,0.00639867782592773,7.288010456,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,6038,0.00143957138061523,9.440144958,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,1413,0.00033688545227051,11.535454250,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,6,343,0.00008177757263184,13.577935234,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,7,78,0.00001859664916992,15.714597781,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,8,12,0.00000286102294922,18.415037499,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,9,2,0.00000047683715820,21.000000000,fixed,1,access-plus-one-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,10,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
