b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,0,6465,0.00154137611389160,9.341565345,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,1,336,0.00008010864257812,13.607682577,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,2,42,0.00001001358032227,16.607682577,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,3,4,0.00000095367431641,20.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,post,4,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,1,6465,0.00154137611389160,9.341565345,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,2,336,0.00008010864257812,13.607682577,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,3,42,0.00001001358032227,16.607682577,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,4,4,0.00000095367431641,20.000000000,fixed,1,access-plus-paper-deterministic
2,2,1,1024,1048576,4194304,cycle,2,shared,os-getrandom,random-old-and-new-paths,insertion,5,0,0.00000000000000000,inf,fixed,1,access-plus-paper-deterministic
