b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,0,262657,0.25048923492431641,1.997179492,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,1,152,0.00014495849609375,12.752072487,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,2,10,0.00000953674316406,16.678071905,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,3,1,0.00000095367431641,20.000000000,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,4,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,1,262656,0.25048828125000000,1.997184984,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,2,152,0.00014495849609375,12.752072487,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,3,10,0.00000953674316406,16.678071905,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,4,1,0.00000095367431641,20.000000000,fixed,1,access-plus-one-deterministic
2,2,2,1024,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,5,0,0.00000000000000000,inf,fixed,1,access-plus-one-deterministic
