b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,0,553786,0.52813148498535156,0.921030943,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,1,131135,0.12506008148193359,2.999306733,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,2,24935,0.02377986907958984,5.394115417,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,3,4893,0.00466632843017578,7.743496433,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,4,1255,0.00119686126708984,9.706528351,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,5,353,0.00033664703369141,11.536475627,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,6,88,0.00008392333984375,13.540568381,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,7,26,0.00002479553222656,15.299560282,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,8,5,0.00000476837158203,17.678071905,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,9,1,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,post,10,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,1,553785,0.52813053131103516,0.921033549,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,2,131135,0.12506008148193359,2.999306733,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,3,24935,0.02377986907958984,5.394115417,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,4,4893,0.00466632843017578,7.743496433,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,5,1255,0.00119686126708984,9.706528351,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,6,353,0.00033664703369141,11.536475627,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,7,88,0.00008392333984375,13.540568381,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,8,26,0.00002479553222656,15.299560282,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,9,5,0.00000476837158203,17.678071905,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,10,1,0.00000095367431641,20.000000000,fixed,1,access-plus-rate-deterministic,1,2
2,2,2,1048576,33554432,1048576,cycle,4,shared,os-getrandom,random-old-and-new-paths,insertion,11,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,1,2
