b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,1048228,0.99966812133789062,0.000478879,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,1045943,0.99748897552490234,0.003627198,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,1039052,0.99091720581054688,0.013163574,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,1025126,0.97763633728027344,0.032630186,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,1001785,0.95537662506103516,0.065858516,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,966928,0.92213439941406250,0.116951059,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,920712,0.87805938720703125,0.187609576,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,864443,0.82439708709716797,0.278588688,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,798697,0.76169681549072266,0.392711231,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,725899,0.69227123260498047,0.530590697,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,650061,0.61994647979736328,0.689784422,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,573141,0.54658985137939453,0.871469422,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,497670,0.47461509704589844,1.075170103,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,425756,0.40603256225585938,1.300332664,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,358817,0.34219455718994141,1.547111282,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,299117,0.28526020050048828,1.809649619,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,246823,0.23538875579833984,2.086882688,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,201601,0.19226169586181641,2.378856731,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,163090,0.15553474426269531,2.684691201,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,130419,0.12437725067138672,3.007205463,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,102971,0.09820079803466797,3.348121441,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,80559,0.07682704925537109,3.702241846,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,62499,0.05960369110107422,4.068454514,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,23,48036,0.04581069946289062,4.448171599,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,24,36732,0.03503036499023438,4.835250170,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,25,27772,0.02648544311523438,5.238656544,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,26,20810,0.01984596252441406,5.655010655,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,27,15532,0.01481246948242188,6.077044008,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,28,11425,0.01089572906494141,6.520093455,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,29,8281,0.00789737701416016,6.984410720,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,30,5915,0.00564098358154297,7.469837547,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,31,4026,0.00383949279785156,8.024868543,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,32,2665,0.00254154205322266,8.620080182,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,33,1731,0.00165081024169922,9.242609991,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,34,1078,0.00102806091308594,9.925858537,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,35,669,0.00063800811767578,10.614137599,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,36,380,0.00036239624023438,11.430144392,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,37,196,0.00018692016601562,12.385290156,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,38,116,0.00011062622070312,13.142019005,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,39,53,0.00005054473876953,14.272079545,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,40,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,41,17,0.00001621246337891,15.912537159,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,42,7,0.00000667572021484,17.192645078,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,43,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,1,1048228,0.99966812133789062,0.000478879,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,2,1045943,0.99748897552490234,0.003627198,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,3,1039052,0.99091720581054688,0.013163574,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,4,1025126,0.97763633728027344,0.032630186,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,5,1001785,0.95537662506103516,0.065858516,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,6,966928,0.92213439941406250,0.116951059,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,7,920712,0.87805938720703125,0.187609576,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,8,864443,0.82439708709716797,0.278588688,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,9,798696,0.76169586181640625,0.392713037,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,10,725898,0.69227027893066406,0.530592684,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,11,650060,0.61994552612304688,0.689786642,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,12,573140,0.54658889770507812,0.871471939,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,13,497670,0.47461509704589844,1.075170103,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,14,425756,0.40603256225585938,1.300332664,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,15,358817,0.34219455718994141,1.547111282,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,16,299117,0.28526020050048828,1.809649619,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,17,246823,0.23538875579833984,2.086882688,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,18,201601,0.19226169586181641,2.378856731,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,19,163090,0.15553474426269531,2.684691201,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,20,130419,0.12437725067138672,3.007205463,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,21,102971,0.09820079803466797,3.348121441,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,22,80559,0.07682704925537109,3.702241846,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,23,62499,0.05960369110107422,4.068454514,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,24,48036,0.04581069946289062,4.448171599,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,25,36732,0.03503036499023438,4.835250170,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,26,27772,0.02648544311523438,5.238656544,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,27,20810,0.01984596252441406,5.655010655,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,28,15532,0.01481246948242188,6.077044008,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,29,11425,0.01089572906494141,6.520093455,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,30,8281,0.00789737701416016,6.984410720,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,31,5915,0.00564098358154297,7.469837547,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,32,4026,0.00383949279785156,8.024868543,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,33,2665,0.00254154205322266,8.620080182,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,34,1731,0.00165081024169922,9.242609991,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,35,1078,0.00102806091308594,9.925858537,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,36,669,0.00063800811767578,10.614137599,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,37,380,0.00036239624023438,11.430144392,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,38,196,0.00018692016601562,12.385290156,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,39,116,0.00011062622070312,13.142019005,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,40,53,0.00005054473876953,14.272079545,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,41,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,42,17,0.00001621246337891,15.912537159,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,43,7,0.00000667572021484,17.192645078,fixed,1,access-plus-rate-deterministic,2,3
4,3,2,1048576,16777216,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,44,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,3
