b,z,y,strategy,passes_or_global_chains,n,mean,max,tail_slope,tail_residual,estimated_s96,benchmark_stash,n20_microseconds
2,3,3,fixed,1,262144,1.15168,14,,,,64,1.9135
2,3,3,fixed,2,262144,1.00624,13,,,,,
2,3,3,pooled,3,262144,1.095,13,,,,,
2,3,2,fixed,1,262144,1.57559,20,,,,128,1.9681
2,3,2,fixed,2,262144,1.061,15,,,,72,2.4801
2,3,2,pooled,3,262144,1.121,17,,,,,
2,2,3,fixed,1,262144,3.924,41,,,,320,2.7021
2,2,3,fixed,2,262144,1.073,15,,,,80,2.1513
2,2,3,pooled,2,262144,1.560,21,,,,,
2,4,2,fixed,1,262144,1.078,14,,,,72,2.0621
2,2,4,fixed,1,262144,1.775,26,,,,,
2,2,5,fixed,1,262144,1.529,20,,,,104,2.1247
2,4,1,fixed,1,262144,130.222,236,,,,,
2,5,1,fixed,1,262144,5.969,43,,,,,
2,2,3,fixed,2,1048576,1.0857,17,0.7710,0.083,75,80,2.1513
2,3,2,fixed,2,1048576,1.0646,15,0.7109,0.048,69,72,2.4801
2,3,3,fixed,2,1048576,1.0044,17,0.6715,0.189,65,,
2,4,2,fixed,1,1048576,1.087,15,0.7275,0.148,71,72,2.0621
2,1,5,fixed,2,1024,1.770,22,,,,,
2,1,5,fixed,2,4096,1.823,20,,,,,
2,1,5,fixed,2,16384,1.919,28,,,,,
2,1,5,fixed,2,65536,2.026,35,,,,,
2,1,5,fixed,2,262144,2.217,39,,,,,
2,1,5,fixed,2,1048576,2.796,51,3.4310,2.719,328,336,2.7919
4,1,10,fixed,3,262144,3.837,32,1.9410,0.606,186,,
4,1,10,fixed,3,1048576,3.872,32,1.7055,0.756,166,176,2.6925
4,1,8,fixed,3,262144,23.4849,100,3.9188,2.068,411,416,3.9402
8,1,16,fixed,7,262144,8.2001,43,1.9031,0.912,191,192,6.0427
8,1,16,fixed,3,262144,24.222,130,8.6754,5.673,841,,
