b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,0,96332,0.09186935424804688,3.444272502,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,1,66853,0.06375598907470703,3.971295318,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,2,52657,0.05021762847900391,4.315662291,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,3,43722,0.04169654846191406,4.583928224,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,4,37508,0.03577041625976562,4.805089283,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,5,32736,0.03121948242187500,5.001409570,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,6,28937,0.02759647369384766,5.179372260,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,7,25820,0.02462387084960938,5.343798620,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,8,23310,0.02223014831542969,5.491338616,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,9,21325,0.02033710479736328,5.619741879,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,10,19652,0.01874160766601562,5.737611476,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,11,18274,0.01742744445800781,5.842495160,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,12,17058,0.01626777648925781,5.941839116,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,13,15934,0.01519584655761719,6.040179140,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,14,14910,0.01421928405761719,6.136007363,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,15,13961,0.01331424713134766,6.230885338,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,16,13088,0.01248168945312500,6.324042967,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,17,12261,0.01169300079345703,6.418210971,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,18,11487,0.01095485687255859,6.512285554,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,19,10760,0.01026153564453125,6.606609543,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,20,10066,0.00959968566894531,6.702797118,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,21,9407,0.00897121429443359,6.800481011,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,22,8820,0.00841140747070312,6.893437060,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,23,8261,0.00787830352783203,6.987899284,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,24,7760,0.00740051269531250,7.078159063,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,25,7261,0.00692462921142578,7.174047462,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,26,6847,0.00652980804443359,7.258743703,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,27,6492,0.00619125366210938,7.335552715,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,28,6189,0.00590229034423828,7.404509393,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,29,5881,0.00560855865478516,7.478154225,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,30,5568,0.00531005859375000,7.557056504,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,31,5282,0.00503730773925781,7.633131414,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,32,5032,0.00479888916015625,7.703083793,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,33,4764,0.00454330444335938,7.782042302,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,34,4534,0.00432395935058594,7.853431324,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,35,4293,0.00409412384033203,7.932229543,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,36,4055,0.00386714935302734,8.014513801,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,37,3868,0.00368881225585938,8.082627921,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,38,3691,0.00352001190185547,8.150203978,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,39,3552,0.00338745117187500,8.205584134,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,40,3433,0.00327396392822266,8.254745858,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,41,3328,0.00317382812500000,8.299560282,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,42,3216,0.00306701660156250,8.348948309,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,43,3096,0.00295257568359375,8.403810244,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,44,2963,0.00282573699951172,8.467157089,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,45,2827,0.00269603729248047,8.534943832,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,46,2691,0.00256633758544922,8.606073324,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,47,2577,0.00245761871337891,8.668523178,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,48,2462,0.00234794616699219,8.734384954,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,49,2371,0.00226116180419922,8.788720053,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,50,2273,0.00216770172119141,8.849618031,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,51,2202,0.00209999084472656,8.895401246,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,52,2120,0.00202178955078125,8.950151451,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,53,2033,0.00193881988525391,9.010605500,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,54,1954,0.00186347961425781,9.067785248,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,55,1875,0.00178813934326172,9.127325120,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,56,1820,0.00173568725585938,9.170277265,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,57,1760,0.00167846679687500,9.218640286,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,58,1704,0.00162506103515625,9.265290380,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,59,1648,0.00157165527343750,9.313499473,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,60,1595,0.00152111053466797,9.360659291,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,61,1536,0.00146484375000000,9.415037499,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,62,1498,0.00142860412597656,9.451178092,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,63,1469,0.00140094757080078,9.479381319,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,64,1448,0.00138092041015625,9.500154113,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,65,1421,0.00135517120361328,9.527309161,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,66,1381,0.00131702423095703,9.568502396,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,67,1347,0.00128459930419922,9.604465865,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,68,1304,0.00124359130859375,9.651271846,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,69,1268,0.00120925903320312,9.691660970,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,70,1223,0.00116634368896484,9.743791311,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,71,1194,0.00113868713378906,9.778412879,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,72,1159,0.00110530853271484,9.821335149,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,73,1126,0.00107383728027344,9.863008888,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,74,1069,0.00101947784423828,9.937953862,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,75,1032,0.00098419189453125,9.988772745,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,76,989,0.00094318389892578,10.050173289,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,77,968,0.00092315673828125,10.081136763,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,78,950,0.00090599060058594,10.108216297,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,79,930,0.00088691711425781,10.138913094,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,80,903,0.00086116790771484,10.181417823,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,81,882,0.00084114074707031,10.215365154,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,82,867,0.00082683563232422,10.240111817,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,83,839,0.00080013275146484,10.287473000,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,84,811,0.00077342987060547,10.336441896,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,85,787,0.00075054168701172,10.379780174,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,86,762,0.00072669982910156,10.426352813,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,87,732,0.00069808959960938,10.484300162,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,88,703,0.00067043304443359,10.542619121,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,89,684,0.00065231323242188,10.582147485,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,90,657,0.00062656402587891,10.640250440,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,91,629,0.00059986114501953,10.703083793,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,92,602,0.00057411193847656,10.766380323,legacy-root-lane,access-plus-rate-deterministic,2,3
