b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,0,99323,0.09472179412841797,3.400159782,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,1,69280,0.06607055664062500,3.919848690,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,2,55120,0.05256652832031250,4.249711732,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,3,46266,0.04412269592285156,4.502335247,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,4,39853,0.03800678253173828,4.717599291,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,5,35026,0.03340339660644531,4.903861380,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,6,31296,0.02984619140625000,5.066309345,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,7,28330,0.02701759338378906,5.209957019,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,8,25838,0.02464103698730469,5.342793218,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,9,23717,0.02261829376220703,5.466366088,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,10,21770,0.02076148986816406,5.589946213,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,11,20046,0.01911735534667969,5.708973232,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,12,18546,0.01768684387207031,5.821179560,legacy-root-lane,access-plus-rate-deterministic,2,3
