log_n,n,z,y,warmup,operations,post_mean,post_max
6,64,2,2,1048576,1048576,1.890,17
6,64,3,2,1048576,1048576,1.143,13
8,256,2,2,1048576,1048576,2.717,23
8,256,3,2,1048576,1048576,1.186,15
10,1024,2,2,1048576,1048576,4.757,33
10,1024,3,2,1048576,1048576,1.238,17
12,4096,2,2,8388608,4194304,11.017,52
12,4096,3,2,8388608,4194304,1.302,18
14,16384,2,2,8388608,4194304,35.994,103
14,16384,3,2,8388608,4194304,1.377,20
16,65536,2,2,33554432,4194304,135.821,251
16,65536,3,2,8388608,4194304,1.467,24
18,262144,2,2,33554432,4194304,533.825,719
18,262144,3,2,8388608,4194304,1.578,23
20,1048576,2,2,16777216,8388608,2084.770,2384
20,1048576,3,2,16777216,8388608,1.715,27
