b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,810198,0.77266502380371094,0.372085002
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,385305,0.36745548248291016,1.444358618
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,177191,0.16898250579833984,2.565054198
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,84312,0.08040618896484375,3.636549638
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,41914,0.03997230529785156,4.644855411
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,21514,0.02051734924316406,5.607011837
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,11385,0.01085758209228516,6.525153329
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,6066,0.00578498840332031,7.433470217
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,3218,0.00306892395019531,8.348051389
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,1780,0.00169754028320312,9.202338474
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,989,0.00094318389892578,10.050173289
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,501,0.00047779083251953,11.031333207
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,262,0.00024986267089844,11.966576998
2,3,2,65536,2097152,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,147,0.00014019012451172,12.800327655
