b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,0,4122082,0.98278093338012695,0.025058226
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,1,3658537,0.87226319313049316,0.197164581
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,2,2717731,0.64795756340026855,0.626028765
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,3,1729095,0.41224837303161621,1.278414295
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,4,994839,0.23718810081481934,2.075896460
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,5,537822,0.12822675704956055,2.963230755
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,6,279266,0.06658220291137695,3.908719586
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,7,141652,0.03377246856689453,4.888008554
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,8,70410,0.01678705215454102,5.896507278
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,9,34663,0.00826430320739746,6.918891099
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,10,17053,0.00406575202941895,7.942262057
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,11,8368,0.00199508666992188,8.969332864
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,12,4084,0.00097370147705078,10.004232849
4,4,4,1048576,4194304,4194304,cycle,16,shared,os-getrandom,random-old-and-new-paths,post,13,1967,0.00046896934509277,11.058218758
