b,z,y,log_n,n,mean,minimum,maximum
2,2,3,10,1024,1.8254032135009766,0,22
2,2,3,12,4096,2.101761817932129,0,23
2,2,3,14,16384,2.4206743240356445,0,22
2,2,3,16,65536,3.0500144958496094,0,35
2,2,3,18,262144,3.5441503524780273,0,31
2,2,3,20,1048576,5.303533554077148,0,47
2,3,2,10,1024,1.244523048400879,0,16
2,3,2,12,4096,1.302276611328125,0,20
2,3,2,14,16384,1.3771982192993164,0,16
2,3,2,16,65536,1.4733924865722656,0,20
2,3,2,18,262144,1.5834789276123047,0,17
2,3,2,20,1048576,1.7015886306762695,0,20
2,3,3,10,1024,1.1128549575805664,0,13
2,3,3,12,4096,1.1202974319458008,0,14
2,3,3,14,16384,1.1264305114746094,0,12
2,3,3,16,65536,1.1436195373535156,0,13
2,3,3,18,262144,1.1397762298583984,0,14
2,3,3,20,1048576,1.1539363861083984,0,13
4,4,3,10,1024,3.4445762634277344,0,21
4,4,3,12,4096,3.618143081665039,0,21
4,4,3,14,16384,3.968484878540039,0,25
4,4,3,16,65536,4.580055236816406,0,25
4,4,3,18,262144,5.824252128601074,0,33
4,4,3,20,1048576,9.7605619430542,0,50
4,4,4,10,1024,3.20892333984375,0,20
4,4,4,12,4096,3.242539405822754,0,24
4,4,4,14,16384,3.269881248474121,0,21
4,4,4,16,65536,3.3305492401123047,0,22
4,4,4,18,262144,3.3726329803466797,0,19
4,4,4,20,1048576,3.403170585632324,0,20
4,5,3,10,1024,3.1179542541503906,0,18
4,5,3,12,4096,3.155270576477051,0,21
4,5,3,14,16384,3.211819648742676,0,20
4,5,3,16,65536,3.2519044876098633,0,23
4,5,3,18,262144,3.337596893310547,0,20
4,5,3,20,1048576,3.4241418838500977,0,23
