b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,0,1048572,0.99999618530273438,0.000005503,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,1,1048518,0.99994468688964844,0.000079802,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,2,1048192,0.99963378906250000,0.000528427,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,3,1046792,0.99829864501953125,0.002456627,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,4,1042728,0.99442291259765625,0.008068557,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,5,1033214,0.98534965515136719,0.021292334,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,6,1014759,0.96774959564208984,0.047294295,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,7,984135,0.93854427337646484,0.091503293,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,8,939302,0.89578819274902344,0.158770445,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,9,879596,0.83884811401367188,0.253518482,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,10,806930,0.76954841613769531,0.377915998,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,11,724151,0.69060420989990234,0.534068966,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,12,635413,0.60597705841064453,0.722664919,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,13,545414,0.52014732360839844,0.943007793,fixed,1,access-plus-rate-deterministic,3,16
2,16,1,131072,4194304,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,14,458506,0.43726539611816406,1.193418913,fixed,1,access-plus-rate-deterministic,3,16
