b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1032483,0.98465251922607422,0.022313403,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,923076,0.88031387329101562,0.183910091,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,667479,0.63655757904052734,0.651637078,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,371025,0.35383701324462891,1.498843125,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,164684,0.15705490112304688,2.670659130,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,63202,0.06027412414550781,4.052317408,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,22601,0.02155399322509766,5.535901013,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,7741,0.00738239288330078,7.081695766,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,2614,0.00249290466308594,8.647956574,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,844,0.00080490112304688,10.278900811,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,279,0.00026607513427734,11.875878688,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,11,92,0.00008773803710938,13.476438044,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,12,36,0.00003433227539062,14.830074999,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,13,11,0.00001049041748047,16.540568381,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,14,2,0.00000190734863281,19.000000000,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,15,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,1,1032483,0.98465251922607422,0.022313403,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,2,923076,0.88031387329101562,0.183910091,fixed,1,access-plus-rate-deterministic,3,8
