b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,1,1048571,0.99999523162841797,0.000006879,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,2,1048526,0.99995231628417969,0.000068795,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,3,1048358,0.99979209899902344,0.000299969,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,4,1047692,0.99915695190429688,0.001216774,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,5,1045950,0.99749565124511719,0.003617543,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,6,1041993,0.99372196197509766,0.009085845,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,7,1034258,0.98634529113769531,0.019835314,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,8,1020785,0.97349643707275391,0.038752396,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,9,1000165,0.95383167266845703,0.068193406,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,10,970796,0.92582321166992188,0.111191361,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,11,931807,0.88864040374755859,0.170328357,fixed,1,access-plus-rate-deterministic,11,64
2,16,1,32768,2097152,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,12,883261,0.84234333038330078,0.247519714,fixed,1,access-plus-rate-deterministic,11,64
