b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1048242,0.99968147277832031,0.000459611,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,1045943,0.99748897552490234,0.003627198,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,1038687,0.99056911468505859,0.013670456,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,1023262,0.97585868835449219,0.035255845,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,997213,0.95101642608642578,0.072457835,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,959715,0.91525554656982422,0.127753483,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,910800,0.86860656738281250,0.203225234,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,851570,0.81212043762207031,0.300234400,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,783974,0.74765586853027344,0.419553716,fixed,1,access-plus-rate-deterministic,3,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,710818,0.67788887023925781,0.560879310,fixed,1,access-plus-rate-deterministic,3,8
