x,load_percent,logical_blocks,primary_samples,control_samples,post_observed_max,insertion_observed_max,post_fit_intercept,post_slope_blocks_per_bit,post_r_squared,post_point_estimate_2^-96,insertion_point_estimate_2^-96,insertion_fit_95_upper,insertion_sensitivity_low,insertion_sensitivity_high,insertion_epoch_low,insertion_epoch_high,insertion_epoch_p95,control_insertion_point_estimate_2^-96,control_insertion_sensitivity_high,primary_minus_control_estimate,cross_size_sensitivity_high,cross_size_and_epoch_upper,monotone_empirical_upper,engineering_recommendation
8,100,1048576,33554432,134217728,24,25,-0.793289827,1.002462312,0.988168811,95.443092087,96.443092087,102.341070659,80.132379596,108.682468667,64.197855922,121.754312102,115.595168849,81.264225446,85.284787808,15.178866641,108.682468667,115.595168849,115.595168849,128
8,105,1101004,33554432,134217728,18,19,2.345010129,0.705333549,0.997792314,70.057030798,71.057030798,73.262695831,67.767493982,74.022531597,62.337452553,81.192839582,80.035888976,78.744298299,81.698181263,-7.687267501,81.698181263,81.698181263,115.595168849,128
8,110,1153433,33554432,134217728,22,23,1.734916953,0.806239556,0.999882297,79.133914344,80.133914344,80.665878024,78.448073047,81.313534644,69.461958978,102.514633150,94.347377800,78.915219309,83.448711435,1.218695035,83.448711435,94.347377800,115.595168849,128
8,115,1205862,33554432,134217728,24,25,0.457291886,1.068144322,0.998787618,102.999146845,103.999146845,105.890098418,99.647405018,107.257233171,71.831303554,129.128252712,124.155362466,92.744339967,94.193568524,11.254806878,107.257233171,124.155362466,124.155362466,136
8,120,1258291,33554432,134217728,29,30,2.717344601,1.290163883,0.995935493,126.573077354,127.573077354,131.446014063,117.411810411,138.773626528,94.514390522,149.418482722,145.991883501,110.086957992,114.754938227,17.486119362,138.773626528,145.991883501,145.991883501,160
8,125,1310720,33554432,134217728,45,46,10.440737406,1.769532210,0.984754540,180.315829604,181.315829604,190.333338046,143.838277779,212.870178753,118.167361147,206.353157703,199.588140634,116.582488053,131.352673348,64.733341551,212.870178753,212.870178753,212.870178753,224
16,100,1048576,33554432,134217728,27,28,7.272849334,0.825530655,0.999494354,86.523792192,87.523792192,88.584978261,85.159856584,89.947859978,70.980600228,106.679662260,101.192487060,85.229770410,87.571784043,2.294021782,89.947859978,101.192487060,101.192487060,112
16,105,1101004,33554432,134217728,29,30,6.510991125,0.955678622,0.998509638,98.256138795,99.256138795,101.365998093,97.126325015,105.646680142,81.314760389,115.038163902,112.145828885,88.351161162,90.761896876,10.904977633,105.646680142,112.145828885,112.145828885,128
16,110,1153433,33554432,134217728,26,27,8.134044532,0.801421474,0.998940414,85.070506060,86.070506060,87.806377328,80.907317089,90.427888230,76.165549527,102.766962349,101.044495336,108.197844372,112.555559296,-22.127338312,112.555559296,112.555559296,112.555559296,128
16,115,1205862,33554432,134217728,34,35,5.770967393,1.206071251,0.999196491,121.553807491,122.553807491,124.223335683,116.265367740,128.083068599,91.208851413,148.447847752,139.986918757,108.262289725,112.695115817,14.291517766,128.083068599,139.986918757,139.986918757,152
16,120,1258291,33554432,134217728,37,38,9.768355022,1.298256336,0.985224415,134.400963308,135.400963308,143.250650802,108.388891622,156.115908835,108.319809045,154.408438360,152.570066912,153.974503934,164.938056998,-18.573540626,164.938056998,164.938056998,164.938056998,176
16,125,1310720,33554432,134217728,62,63,11.488117311,2.568170749,0.989169627,258.032509221,259.032509221,267.977205584,220.557335008,284.888725607,136.346920378,313.152329646,299.455871454,172.533949011,182.262650041,86.498560210,284.888725607,299.455871454,299.455871454,312
