dataset,x,load_percent,metric,source,minimum_bits,minimum_count,epoch,points,fit_min_bits,fit_max_bits,intercept,slope_blocks_per_bit,residual_blocks,r_squared,estimate_at_2^-96
primary,8,100,post,full-window,6.000000000,32,,14,6.852218716,20.000000000,-0.641983466,1.002442876,0.464482382,0.988620103,95.592532633
primary,8,100,post,full-window,6.000000000,64,,12,6.852218716,18.299560282,-0.208388642,0.963938956,0.431157797,0.987000207,92.329751182
primary,8,100,post,full-window,6.000000000,256,,10,6.852218716,16.552916774,0.381160220,0.907838085,0.347041662,0.988321172,87.533616336
primary,8,100,post,full-window,6.000000000,1024,,7,6.852218716,14.215365154,1.322041558,0.810524355,0.117671558,0.997527394,79.132379596
primary,8,100,post,full-window,8.000000000,32,,13,8.230846587,20.000000000,-1.231459625,1.038582679,0.396244666,0.990510395,98.472477604
primary,8,100,post,full-window,8.000000000,64,,11,8.230846587,18.299560282,-0.793289827,1.002462312,0.380267569,0.988168811,95.443092087
primary,8,100,post,full-window,8.000000000,256,,9,8.230846587,16.552916774,-0.123571995,0.943682393,0.316640351,0.988302870,90.469937715
primary,8,100,post,full-window,8.000000000,1024,,6,8.230846587,14.215365154,1.049942040,0.832677988,0.098634266,0.997776293,80.987028924
primary,8,100,post,full-window,10.000000000,32,,11,10.857892943,20.000000000,-2.568052649,1.117955404,0.243020615,0.995167898,104.755666094
primary,8,100,post,full-window,10.000000000,64,,9,10.857892943,18.299560282,-2.277744092,1.096888170,0.256726590,0.992310670,103.023520215
primary,8,100,post,full-window,10.000000000,256,,7,10.857892943,16.552916774,-1.545234753,1.040754246,0.242698785,0.989481661,98.367172866
primary,8,100,post,full-window,10.000000000,1024,,4,10.857892943,14.215365154,0.266917284,0.893289874,0.048549740,0.999057169,86.022745178
primary,8,100,post,full-window,12.000000000,32,,10,12.057485495,20.000000000,-3.213878891,1.155170287,0.174400795,0.997050605,107.682468667
primary,8,100,post,full-window,12.000000000,64,,8,12.057485495,18.299560282,-3.122389561,1.148960190,0.192926224,0.994682782,107.177788687
primary,8,100,post,full-window,12.000000000,256,,6,12.057485495,16.552916774,-2.492731384,1.103304920,0.205470206,0.990350170,103.424540947
primary,8,100,post,epoch,6,32,0,8,6.942642810,16.573735245,1.907668681,0.718739980,0.152905316,0.996659995,70.906706804
primary,8,100,post,epoch,6,32,1,9,6.931179745,16.955605881,1.279032460,0.796105812,0.157786413,0.997095402,77.705190382
primary,8,100,post,epoch,6,32,2,9,6.671184849,16.912537159,2.084692460,0.747795975,0.165566744,0.996801893,73.873106101
primary,8,100,post,epoch,6,32,3,7,6.939050808,16.445411148,2.707498483,0.636332605,0.125325794,0.997195258,63.795428582
primary,8,100,post,epoch,6,32,4,13,6.799599437,16.508146904,-2.868603326,1.287738702,0.674157346,0.972530937,120.754312102
primary,8,100,post,epoch,6,32,5,7,7.022138750,16.415037499,2.585653327,0.631377110,0.041433019,0.999693447,63.197855922
primary,8,100,post,epoch,6,32,6,8,6.671535434,15.445411148,1.436026306,0.828233831,0.156686564,0.996492760,80.946474101
primary,8,100,post,epoch,6,32,7,11,6.882438061,16.327574658,-1.105190721,1.086061986,0.386752011,0.987761872,103.156759951
primary,8,100,insertion,full-window,6.000000000,32,,14,6.852218716,20.000000000,0.358016534,1.002442876,0.464482382,0.988620103,96.592532633
primary,8,100,insertion,full-window,6.000000000,64,,12,6.852218716,18.299560282,0.791611358,0.963938956,0.431157797,0.987000207,93.329751182
primary,8,100,insertion,full-window,6.000000000,256,,10,6.852218716,16.552916774,1.381160220,0.907838085,0.347041662,0.988321172,88.533616336
primary,8,100,insertion,full-window,6.000000000,1024,,7,6.852218716,14.215365154,2.322041558,0.810524355,0.117671558,0.997527394,80.132379596
primary,8,100,insertion,full-window,8.000000000,32,,13,8.230846587,20.000000000,-0.231459625,1.038582679,0.396244666,0.990510395,99.472477604
primary,8,100,insertion,full-window,8.000000000,64,,11,8.230846587,18.299560282,0.206710173,1.002462312,0.380267569,0.988168811,96.443092087
primary,8,100,insertion,full-window,8.000000000,256,,9,8.230846587,16.552916774,0.876428005,0.943682393,0.316640351,0.988302870,91.469937715
primary,8,100,insertion,full-window,8.000000000,1024,,6,8.230846587,14.215365154,2.049942040,0.832677988,0.098634266,0.997776293,81.987028924
primary,8,100,insertion,full-window,10.000000000,32,,11,10.857892943,20.000000000,-1.568052649,1.117955404,0.243020615,0.995167898,105.755666094
primary,8,100,insertion,full-window,10.000000000,64,,9,10.857892943,18.299560282,-1.277744092,1.096888170,0.256726590,0.992310670,104.023520215
primary,8,100,insertion,full-window,10.000000000,256,,7,10.857892943,16.552916774,-0.545234753,1.040754246,0.242698785,0.989481661,99.367172866
primary,8,100,insertion,full-window,10.000000000,1024,,4,10.857892943,14.215365154,1.266917284,0.893289874,0.048549740,0.999057169,87.022745178
primary,8,100,insertion,full-window,12.000000000,32,,10,12.057485495,20.000000000,-2.213878891,1.155170287,0.174400795,0.997050605,108.682468667
primary,8,100,insertion,full-window,12.000000000,64,,8,12.057485495,18.299560282,-2.122389561,1.148960190,0.192926224,0.994682782,108.177788687
primary,8,100,insertion,full-window,12.000000000,256,,6,12.057485495,16.552916774,-1.492731384,1.103304920,0.205470206,0.990350170,104.424540947
primary,8,100,insertion,epoch,6,32,0,8,6.942642810,16.573735245,2.907668681,0.718739980,0.152905316,0.996659995,71.906706804
primary,8,100,insertion,epoch,6,32,1,9,6.931179745,16.955605881,2.279032460,0.796105812,0.157786413,0.997095402,78.705190382
primary,8,100,insertion,epoch,6,32,2,9,6.671184849,16.912537159,3.084692460,0.747795975,0.165566744,0.996801893,74.873106101
primary,8,100,insertion,epoch,6,32,3,7,6.939050808,16.445411148,3.707498483,0.636332605,0.125325794,0.997195258,64.795428582
primary,8,100,insertion,epoch,6,32,4,13,6.799599437,16.508146904,-1.868603326,1.287738702,0.674157346,0.972530937,121.754312102
primary,8,100,insertion,epoch,6,32,5,7,7.022138750,16.415037499,3.585653327,0.631377110,0.041433019,0.999693447,64.197855922
primary,8,100,insertion,epoch,6,32,6,8,6.671535434,15.445411148,2.436026306,0.828233831,0.156686564,0.996492760,81.946474101
primary,8,100,insertion,epoch,6,32,7,11,6.882438061,16.327574658,-0.105190721,1.086061986,0.386752011,0.987761872,104.156759951
control,8,100,post,full-window,6.000000000,32,,12,6.897847428,20.642447995,1.093478772,0.812581501,0.194553811,0.997353064,79.101302832
control,8,100,post,full-window,6.000000000,64,,12,6.897847428,20.642447995,1.093478772,0.812581501,0.194553811,0.997353064,79.101302832
control,8,100,post,full-window,6.000000000,256,,10,6.897847428,18.157649657,1.290889309,0.794615502,0.182736893,0.996761913,77.573977474
control,8,100,post,full-window,6.000000000,1024,,8,6.897847428,16.038550306,1.641327063,0.760210648,0.105590545,0.998407234,74.621549253
control,8,100,post,full-window,8.000000000,32,,11,8.331845604,20.642447995,0.851082616,0.827220238,0.164992462,0.997772704,80.264225446
control,8,100,post,full-window,8.000000000,64,,11,8.331845604,20.642447995,0.851082616,0.827220238,0.164992462,0.997772704,80.264225446
control,8,100,post,full-window,8.000000000,256,,9,8.331845604,18.157649657,1.041572845,0.811196034,0.162307304,0.996926573,78.916392088
control,8,100,post,full-window,8.000000000,1024,,7,8.331845604,16.038550306,1.460155738,0.773571050,0.093252995,0.998447121,75.722976493
control,8,100,post,full-window,10.000000000,32,,9,11.110662409,20.642447995,0.313922583,0.858465558,0.104939468,0.998715233,82.726616156
control,8,100,post,full-window,10.000000000,64,,9,11.110662409,20.642447995,0.313922583,0.858465558,0.104939468,0.998715233,82.726616156
