b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,956667,0.91234874725341797,0.132342692,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,853257,0.81372928619384766,0.297379181,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,778635,0.74256420135498047,0.429412330,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,713154,0.68011665344238281,0.556145877,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,651696,0.62150573730468750,0.686160386,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,592445,0.56499958038330078,0.823678299,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,536417,0.51156711578369141,0.967004566,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,484916,0.46245193481445312,1.112624669,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,436784,0.41654968261718750,1.263439516,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,391492,0.37335586547851562,1.421376699,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,348128,0.33200073242187500,1.590741671,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,308374,0.29408836364746094,1.765678393,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,271785,0.25919437408447266,1.947893691,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,237846,0.22682762145996094,2.140331763,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,206657,0.19708347320556641,2.343121293,fixed,1,access-plus-uniform
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,178216,0.16996002197265625,2.556732660,fixed,1,access-plus-uniform
