b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,998878,0.95260429382324219,0.070051043,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,836788,0.79802322387695312,0.325497363,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,677544,0.64615631103515625,0.630044887,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,548407,0.52300167083740234,0.935112539,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,445745,0.42509555816650391,1.234140911,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,363440,0.34660339355468750,1.528642315,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,296888,0.28313446044921875,1.820440744,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,242666,0.23142433166503906,2.111387539,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,198681,0.18947696685791016,2.399905612,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,162846,0.15530204772949219,2.686851242,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,133445,0.12726306915283203,2.974114275,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,109114,0.10405921936035156,3.264523305,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,89338,0.08519935607910156,3.553013663,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,73011,0.06962871551513672,3.844173780,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,59727,0.05696010589599609,4.133904361,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,48853,0.04658985137939453,4.423840461,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,39919,0.03806972503662109,4.715212040,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,32595,0.03108501434326172,5.007636945,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,26695,0.02545833587646484,5.295718071,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,21934,0.02091789245605469,5.579118687,fixed,1,same
2,2,3,1048576,33554432,1048576,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,17981,0.01714801788330078,5.865814363,fixed,1,same
