b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,972730,0.92766761779785156,0.108320113,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,939184,0.89567565917968750,0.158951695,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,904504,0.86260223388671875,0.213232643,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,867535,0.82734584808349609,0.273437562,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,829221,0.79080677032470703,0.338602872,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,789154,0.75259590148925781,0.410052662,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,747691,0.71305370330810547,0.487917358,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,706005,0.67329883575439453,0.570681125,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,664496,0.63371276855468750,0.658099010,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,622370,0.59353828430175781,0.752587006,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,581379,0.55444622039794922,0.850880565,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,540780,0.51572799682617188,0.955317729,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,501194,0.47797584533691406,1.064990382,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,463022,0.44157218933105469,1.179278782,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,425047,0.40535640716552734,1.302737148,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,388318,0.37032890319824219,1.433120942,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,352694,0.33635520935058594,1.571942493,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,319128,0.30434417724609375,1.716224331,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,287290,0.27398109436035156,1.867851749,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,257828,0.24588394165039062,2.023950577,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,230968,0.22026824951171875,2.182666542,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,21,206037,0.19649219512939453,2.347456087,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,22,183250,0.17476081848144531,2.516546327,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,23,162851,0.15530681610107422,2.686806947,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,24,144196,0.13751602172851562,2.862328381,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,25,127022,0.12113761901855469,3.045281135,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,26,111392,0.10623168945312500,3.234713901,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,27,97140,0.09263992309570312,3.432222134,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,28,84487,0.08057308197021484,3.633558249,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,29,73307,0.06991100311279297,3.838336654,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,30,63137,0.06021213531494141,4.053801909,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,31,54143,0.05163478851318359,4.275512793,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,32,46436,0.04428482055664062,4.497043917,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,33,40263,0.03839778900146484,4.702832949,fixed,1,paper-random
2,1,3,1048576,33554432,1048576,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,34,34934,0.03331565856933594,4.907655777,fixed,1,paper-random
