b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,12667779,0.18876461684703827,2.405339732,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,7009217,0.10444547235965729,3.259178141,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,3938537,0.05868877470493317,4.090771602,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,2232362,0.03326478600502014,4.909860437,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,1272635,0.01896373927593231,5.720612726,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,727190,0.01083597540855408,6.528027165,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,413680,0.00616431236267090,7.341844316,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,234714,0.00349751114845276,8.159455629,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,133452,0.00198858976364136,8.974038599,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,76301,0.00113697350025177,9.780585655,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,43722,0.00065150856971741,10.583928224,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,25405,0.00037856400012970,11.367175156,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,14720,0.00021934509277344,12.154509949,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,8392,0.00012505054473877,12.965201037,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,4906,0.00007310509681702,13.739668481,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,2761,0.00004114210605621,14.569024827,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,1624,0.00002419948577881,15.334664083,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,1003,0.00001494586467743,16.029894109,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,603,0.00000898540019989,16.763985808,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,362,0.00000539422035217,17.500154113,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,207,0.00000308454036713,18.306513043,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,21,128,0.00000190734863281,19.000000000,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,22,71,0.00000105798244476,19.850252880,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,23,41,0.00000061094760895,20.642447995,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,24,8,0.00000011920928955,23.000000000,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,25,2,0.00000002980232239,25.000000000,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,26,0,0.00000000000000000,inf,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,0,67108864,1.00000000000000000,-0.000000000,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,1,12667779,0.18876461684703827,2.405339732,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,2,7009217,0.10444547235965729,3.259178141,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,3,3938537,0.05868877470493317,4.090771602,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,4,2232362,0.03326478600502014,4.909860437,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,5,1272635,0.01896373927593231,5.720612726,fixed,1,paper-random
2,1,3,1024,16777216,67108864,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,6,727190,0.01083597540855408,6.528027165,fixed,1,paper-random
