b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,791432,0.18869209289550781,2.405894127,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,435338,0.10379266738891602,3.268223569,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,242467,0.05780863761901855,4.112571117,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,136466,0.03253602981567383,4.941817972,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,78494,0.01871442794799805,5.739705240,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,45969,0.01095986366271973,6.511626338,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,27532,0.00656414031982422,7.251178205,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,16755,0.00399470329284668,7.967695934,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,10184,0.00242805480957031,8.685983296,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,6401,0.00152611732482910,9.355918407,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,4139,0.00098681449890137,9.984933467,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,2659,0.00063395500183105,10.623331938,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,1714,0.00040864944458008,11.256848606,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,1108,0.00026416778564453,11.886257834,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,767,0.00018286705017090,12.416917232,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,556,0.00013256072998047,12.881058927,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,449,0.00010704994201660,13.189428365,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,393,0.00009369850158691,13.381614498,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,348,0.00008296966552734,13.557056504,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,275,0.00006556510925293,13.896712192,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,222,0.00005292892456055,14.205584134,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,21,152,0.00003623962402344,14.752072487,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,22,100,0.00002384185791016,15.356143810,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,23,60,0.00001430511474609,16.093109404,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,24,16,0.00000381469726562,18.000000000,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,25,5,0.00000119209289551,19.678071905,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,26,0,0.00000000000000000,inf,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,1,791431,0.18869185447692871,2.405895949,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,2,435338,0.10379266738891602,3.268223569,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,3,242467,0.05780863761901855,4.112571117,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,4,136466,0.03253602981567383,4.941817972,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,5,78494,0.01871442794799805,5.739705240,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,6,45969,0.01095986366271973,6.511626338,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,7,27532,0.00656414031982422,7.251178205,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,8,16755,0.00399470329284668,7.967695934,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,9,10184,0.00242805480957031,8.685983296,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,10,6401,0.00152611732482910,9.355918407,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,11,4139,0.00098681449890137,9.984933467,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,12,2659,0.00063395500183105,10.623331938,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,13,1714,0.00040864944458008,11.256848606,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,14,1108,0.00026416778564453,11.886257834,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,15,767,0.00018286705017090,12.416917232,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,16,556,0.00013256072998047,12.881058927,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,17,449,0.00010704994201660,13.189428365,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,18,393,0.00009369850158691,13.381614498,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,19,348,0.00008296966552734,13.557056504,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,20,275,0.00006556510925293,13.896712192,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,21,222,0.00005292892456055,14.205584134,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,22,152,0.00003623962402344,14.752072487,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,23,100,0.00002384185791016,15.356143810,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,24,60,0.00001430511474609,16.093109404,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,25,16,0.00000381469726562,18.000000000,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,26,5,0.00000119209289551,19.678071905,fixed,1,paper-random
2,1,3,1024,1048576,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,insertion,27,0,0.00000000000000000,inf,fixed,1,paper-random
