b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,13607180,0.81105113029479980,0.302135227,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,10422488,0.62122869491577148,0.686803625,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,8527278,0.50826537609100342,0.976346140,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,7136595,0.42537420988082886,1.233195528,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,5999662,0.35760772228240967,1.483550204,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,5036177,0.30017954111099243,1.736102442,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,4212184,0.25106573104858398,1.993862972,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,3511592,0.20930719375610352,2.256306198,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,2916995,0.17386645078659058,2.523948517,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,2413396,0.14384961128234863,2.797366772,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,1990205,0.11862546205520630,3.075514388,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,1635051,0.09745663404464722,3.359095794,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,1338904,0.07980489730834961,3.647378908,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,1094152,0.06521654129028320,3.938618259,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,891136,0.05311584472656250,4.234713901,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,724377,0.04317623376846313,4.533618786,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,587675,0.03502815961837769,4.835340999,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,476560,0.02840518951416016,5.137701661,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,386491,0.02303665876388550,5.439924706,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,314120,0.01872301101684570,5.739043723,fixed,1,access-plus-uniform
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,255610,0.01523554325103760,6.036415247,fixed,1,access-plus-uniform
