b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,15657512,0.93326044082641602,0.099648351,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,12212819,0.72794073820114136,0.458107090,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,9103466,0.54260885715484619,0.882015498,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,6807687,0.40576976537704468,1.301266724,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,5135445,0.30609637498855591,1.707942135,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,3901752,0.23256254196166992,2.104309349,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,2978464,0.17753028869628906,2.493862909,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,2278886,0.13583219051361084,2.880102674,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,1744984,0.10400915145874023,3.265217622,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,1335435,0.07959812879562378,3.651121674,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,1020764,0.06084227561950684,4.038782076,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,779241,0.04644638299942017,4.428289938,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,595327,0.03548425436019897,4.816677199,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,453979,0.02705925703048706,5.207733962,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,346659,0.02066248655319214,5.596842309,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,264337,0.01575571298599243,5.987981148,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,201047,0.01198333501815796,6.382826717,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,152492,0.00908923149108887,6.781625967,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,115842,0.00690472126007080,7.178201110,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,87701,0.00522738695144653,7.579694328,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,66633,0.00397163629531860,7.976050771,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,51117,0.00304681062698364,8.358484452,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,39018,0.00232565402984619,8.748147791,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,23,29687,0.00176948308944702,9.142456310,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,24,22158,0.00132071971893311,9.564459952,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,25,16379,0.00097626447677612,10.000440343,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,26,11999,0.00071519613265991,10.449373444,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,27,8659,0.00051611661911011,10.920015293,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,28,6163,0.00036734342575073,11.410582924,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,29,4381,0.00026112794876099,11.902955501,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,30,3052,0.00018191337585449,12.424460753,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,31,2095,0.00012487173080444,12.967265471,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,32,1434,0.00008547306060791,13.514170691,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,33,952,0.00005674362182617,14.105182237,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,34,632,0.00003767013549805,14.696219252,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,35,360,0.00002145767211914,15.508146904,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,36,204,0.00001215934753418,16.327574658,fixed,1,same
2,2,3,262144,4194304,16777216,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,37,124,0.00000739097595215,17.045803690,fixed,1,same
