b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,11280309,0.67235881090164185,0.572696748,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,9772544,0.58248901367187500,0.779697256,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,8460438,0.50428140163421631,0.987699077,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,7295845,0.43486624956130981,1.201356351,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,6260168,0.37313508987426758,1.422230056,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,5341702,0.31839025020599365,1.651131937,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,4536817,0.27041536569595337,1.886750963,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,3837883,0.22875565290451050,2.128120700,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,3233990,0.19276082515716553,2.375116213,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,2710937,0.16158443689346313,2.629639844,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,2262775,0.13487190008163452,2.890338294,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,1880010,0.11205732822418213,3.157691095,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,1554429,0.09265118837356567,3.432046709,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,1281932,0.07640910148620605,3.710111694,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,1054104,0.06282949447631836,3.992414218,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,864658,0.05153763294219971,4.278229912,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,706257,0.04209619760513306,4.570166264,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,574966,0.03427064418792725,4.866882879,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,18,466936,0.02783155441284180,5.167134703,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,19,376889,0.02246433496475220,5.476219837,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,20,303647,0.01809877157211304,5.787964410,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,21,243513,0.01451450586318970,6.106360733,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,22,194445,0.01158982515335083,6.430997388,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,23,154736,0.00922298431396484,6.760550640,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,24,122855,0.00732272863388062,7.093402951,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,25,97295,0.00579923391342163,7.429921954,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,26,77137,0.00459772348403931,7.764864582,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,27,60944,0.00363254547119141,8.104803427,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,28,47647,0.00283998250961304,8.459902240,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,29,37289,0.00222259759902954,8.813537512,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,30,29079,0.00173324346542358,9.172309963,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,31,22493,0.00134068727493286,9.542811527,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,32,17465,0.00104099512100220,9.907820978,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,33,13600,0.00081062316894531,10.268680969,fixed,1,paper-random
2,1,3,262144,4194304,16777216,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,34,10622,0.00063312053680420,10.625232186,fixed,1,paper-random
