b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,3916425,0.93374848365783691,0.098894100,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,3058671,0.72924399375915527,0.455526496,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,2281430,0.54393529891967773,0.878493042,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,1706939,0.40696597099304199,1.297019928,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,1287860,0.30704975128173828,1.703455660,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,979797,0.23360180854797363,2.097876651,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,749743,0.17875266075134277,2.483963378,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,575257,0.13715195655822754,2.866152892,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,441246,0.10520124435424805,3.248776325,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,337343,0.08042883872985840,3.636143300,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,257296,0.06134414672851562,4.026930497,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,195632,0.04664230346679688,4.422217151,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,148921,0.03550553321838379,4.815812317,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,113270,0.02700567245483398,5.210593717,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,86015,0.02050757408142090,5.607699350,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,65434,0.01560068130493164,6.002247155,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,16,49819,0.01187777519226074,6.395591557,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,17,38004,0.00906085968017578,6.786136347,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,18,28988,0.00691127777099609,7.176831821,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,19,22060,0.00525951385498047,7.570854830,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,20,16698,0.00398111343383789,7.972612306,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,21,12548,0.00299167633056641,8.384830186,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,22,9448,0.00225257873535156,8.794206751,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,23,6961,0.00165963172912598,9.234921140,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,24,5148,0.00122737884521484,9.670203662,fixed,1,same
2,2,3,262144,33554432,4194304,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,25,3873,0.00092339515686035,10.080764214,fixed,1,same
