b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,0,2764437,0.65909314155578613,0.601445737,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,1,2383299,0.56822276115417480,0.815471473,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,2,2051544,0.48912620544433594,1.031721334,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,3,1763066,0.42034769058227539,1.250344948,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,4,1511150,0.36028623580932617,1.472784558,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,5,1290570,0.30769586563110352,1.700423036,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,6,1099566,0.26215696334838867,1.931497228,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,7,933290,0.22251367568969727,2.168034088,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,8,787694,0.18780088424682617,2.412724239,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,9,661425,0.15769600868225098,2.664781949,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,10,553308,0.13191890716552734,2.922276742,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,11,461960,0.11013984680175781,3.182591588,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,12,384023,0.09155821800231934,3.449166806,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,13,318589,0.07595753669738770,3.718663070,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,14,263934,0.06292676925659180,3.990182315,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,15,218653,0.05213093757629395,4.261716383,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,16,180751,0.04309439659118652,4.536355897,fixed,1,paper-random
2,1,3,262144,33554432,4194304,cycle,3,shared,os-getrandom,random-old-and-new-paths,post,17,149181,0.03556752204895020,4.813295723,fixed,1,paper-random
