b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,0,9623,0.00917720794677734,6.767728987,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,1,3658,0.00348854064941406,8.163160640,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,2,1353,0.00129032135009766,9.598053876,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,3,487,0.00046443939208984,11.072222038,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,4,185,0.00017642974853516,12.468618539,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,5,74,0.00007057189941406,13.790546634,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,6,40,0.00003814697265625,14.678071905,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,7,14,0.00001335144042969,16.192645078,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,8,0,0.00000000000000000,inf,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,1,9622,0.00917625427246094,6.767878916,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,2,3657,0.00348758697509766,8.163555089,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,3,1353,0.00129032135009766,9.598053876,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,4,487,0.00046443939208984,11.072222038,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,5,185,0.00017642974853516,12.468618539,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,6,74,0.00007057189941406,13.790546634,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,7,40,0.00003814697265625,14.678071905,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,8,14,0.00001335144042969,16.192645078,fixed,1,paper-random
2,1,5,262144,33554432,1048576,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,9,0,0.00000000000000000,inf,fixed,1,paper-random
