configuration,seed,operations,post_mean,insertion_mean
"B=2, Z=3",2,33554432,1886.922778,1887.463741
"B=2, Z=3",3,33554432,1886.757230,1887.298232
"B=2, Z=3",4,33554432,1887.390194,1887.931041
"B=2, Z=3",5,33554432,1887.139204,1887.680114
"B=4, Z=5",2,33554432,2864.094160,2864.396003
"B=4, Z=5",3,33554432,2862.879464,2863.181607
"B=4, Z=5",4,33554432,2863.127517,2863.429596
"B=4, Z=5",5,33554432,2864.072253,2864.374099
"B=4, Z=6",2,33554432,2616.713424,2617.075882
"B=4, Z=6",3,33554432,2617.771834,2618.134036
"B=4, Z=6",4,33554432,2617.408383,2617.770669
"B=4, Z=6",5,33554432,2616.780962,2617.143402
"B=8, Z=9",2,33554432,3146.301516,3146.534326
"B=8, Z=9",3,33554432,3147.589487,3147.821988
"B=8, Z=9",4,33554432,3147.110999,3147.343611
"B=8, Z=9",5,33554432,3145.822549,3146.055479
"B=8, Z=10",2,33554432,3040.141242,3040.400053
"B=8, Z=10",3,33554432,3039.814287,3040.073180
"B=8, Z=10",4,33554432,3040.398760,3040.657504
"B=8, Z=10",5,33554432,3038.993271,3039.252358
