configuration,n,post_mean,stash_fraction,post_min,post_max
"B=2, Z=3",64,13.834212,0.216159556,0,51
"B=2, Z=3",256,83.819154,0.327418570,19,160
"B=2, Z=3",1024,414.393318,0.404680975,277,603
"B=2, Z=3",4096,1887.270509,0.460759402,1571,2242
"B=2, Z=3",16384,8215.526301,0.501435931,7531,9161
"B=4, Z=5",64,24.509207,0.382956363,0,51
"B=4, Z=5",256,138.778244,0.542102518,84,197
"B=4, Z=5",1024,651.687132,0.636413214,528,778
"B=4, Z=5",4096,2863.825111,0.699176053,2628,3193
"B=4, Z=5",16384,12130.840115,0.740407722,11656,12748
"B=4, Z=6",64,16.703975,0.260999605,0,49
"B=4, Z=6",256,115.344578,0.450564756,49,186
"B=4, Z=6",1024,578.626046,0.565064498,467,722
"B=4, Z=6",4096,2615.252945,0.638489489,2345,2881
"B=4, Z=6",16384,11295.542572,0.689425206,10783,11987
"B=8, Z=9",64,22.046540,0.344477188,0,50
"B=8, Z=9",512,327.955790,0.640538651,249,406
"B=8, Z=9",4096,3145.433169,0.767928020,2951,3341
"B=8, Z=9",32768,27283.912560,0.832638933,26637,27942
"B=8, Z=10",64,17.399936,0.271873996,0,48
"B=8, Z=10",512,307.111265,0.599826690,223,389
"B=8, Z=10",4096,3039.813715,0.742142020,2818,3250
"B=8, Z=10",32768,26636.492192,0.812881231,25880,27346
