b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1048466,0.99989509582519531,0.000151353,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,1046568,0.99808502197265625,0.002765378,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,1035994,0.98800086975097656,0.017415783,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,1002797,0.95634174346923828,0.064401845,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,934419,0.89113140106201172,0.166289916,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,830444,0.79197311401367188,0.336476641,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,703737,0.67113590240478516,0.575323159,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,569770,0.54337501525878906,0.879979864,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,443460,0.42291641235351562,1.241555546,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,333806,0.31834220886230469,1.651349639,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,243723,0.23243236541748047,2.105117122,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,11,173258,0.16523170471191406,2.597437557,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,12,120452,0.11487197875976562,3.121901177,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,13,81896,0.07810211181640625,3.678494632,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,14,54331,0.05181407928466797,4.270512019,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,15,35102,0.03347587585449219,4.900734387,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,16,21976,0.02095794677734375,5.576358805,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,17,13397,0.01277637481689453,6.290377647,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,18,8023,0.00765132904052734,7.030073918,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,19,4745,0.00452518463134766,7.787807628,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,20,2676,0.00255203247070312,8.614137599,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,21,1479,0.00141048431396484,9.469593663,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,22,798,0.00076103210449219,10.359755064,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,23,395,0.00037670135498047,11.374291157,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,24,194,0.00018501281738281,12.400087158,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,25,88,0.00008392333984375,13.540568381,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,26,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,27,4,0.00000381469726562,18.000000000,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,28,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,1,1048466,0.99989509582519531,0.000151353,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,2,1046568,0.99808502197265625,0.002765378,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,3,1035994,0.98800086975097656,0.017415783,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,4,1002797,0.95634174346923828,0.064401845,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,5,934419,0.89113140106201172,0.166289916,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,6,830444,0.79197311401367188,0.336476641,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,7,703737,0.67113590240478516,0.575323159,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,8,569770,0.54337501525878906,0.879979864,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,9,443460,0.42291641235351562,1.241555546,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,10,333807,0.31834316253662109,1.651345317,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,11,243723,0.23243236541748047,2.105117122,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,12,173258,0.16523170471191406,2.597437557,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,13,120452,0.11487197875976562,3.121901177,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,14,81896,0.07810211181640625,3.678494632,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,15,54331,0.05181407928466797,4.270512019,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,16,35102,0.03347587585449219,4.900734387,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,17,21976,0.02095794677734375,5.576358805,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,18,13397,0.01277637481689453,6.290377647,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,19,8023,0.00765132904052734,7.030073918,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,20,4745,0.00452518463134766,7.787807628,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,21,2676,0.00255203247070312,8.614137599,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,22,1479,0.00141048431396484,9.469593663,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,23,798,0.00076103210449219,10.359755064,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,24,395,0.00037670135498047,11.374291157,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,25,194,0.00018501281738281,12.400087158,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,26,88,0.00008392333984375,13.540568381,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,27,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,28,4,0.00000381469726562,18.000000000,fixed,1,access-plus-rate-deterministic,1,4
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,29,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,1,4
