b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1031927,0.98412227630615234,0.023090515,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,921234,0.87855720520019531,0.186791868,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,661462,0.63081932067871094,0.664701247,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,361601,0.34484958648681641,1.535960858,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,155802,0.14858436584472656,2.750645772,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,57182,0.05453300476074219,4.196726540,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,19274,0.01838111877441406,5.765631610,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,6410,0.00611305236816406,7.353891358,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,2070,0.00197410583496094,8.984584948,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,677,0.00064563751220703,10.596987976,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,212,0.00020217895507812,12.272079545,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,11,80,0.00007629394531250,13.678071905,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,12,33,0.00003147125244141,14.955605881,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,13,14,0.00001335144042969,16.192645078,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,14,6,0.00000572204589844,17.415037499,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,15,2,0.00000190734863281,19.000000000,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,16,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,1,1031927,0.98412227630615234,0.023090515,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,2,921234,0.87855720520019531,0.186791868,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,3,661462,0.63081932067871094,0.664701247,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,4,361602,0.34485054016113281,1.535956868,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,5,155803,0.14858531951904297,2.750636513,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,6,57182,0.05453300476074219,4.196726540,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,7,19274,0.01838111877441406,5.765631610,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,8,6410,0.00611305236816406,7.353891358,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,9,2070,0.00197410583496094,8.984584948,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,10,677,0.00064563751220703,10.596987976,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,11,212,0.00020217895507812,12.272079545,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,12,80,0.00007629394531250,13.678071905,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,13,33,0.00003147125244141,14.955605881,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,14,14,0.00001335144042969,16.192645078,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,15,6,0.00000572204589844,17.415037499,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,16,2,0.00000190734863281,19.000000000,fixed,1,access-plus-rate-deterministic,3,8
2,4,2,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,insertion,17,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,8
