b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,1048573,0.99999713897705078,0.000004128,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,1048569,0.99999332427978516,0.000009631,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,1048555,0.99997997283935547,0.000028893,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,1048524,0.99995040893554688,0.000071547,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,1048468,0.99989700317382812,0.000148601,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,1048364,0.99979782104492188,0.000291712,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,1048136,0.99958038330078125,0.000605506,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,1047715,0.99917888641357422,0.001185103,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,11,1046948,0.99844741821289062,0.002241643,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,12,1045525,0.99709033966064453,0.004203871,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,13,1043053,0.99473285675048828,0.007618964,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,14,1039114,0.99097633361816406,0.013077491,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,15,1033170,0.98530769348144531,0.021353773,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,16,1024388,0.97693252563476562,0.033669173,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,17,1012579,0.96567058563232422,0.050396961,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,18,997410,0.95120429992675781,0.072172858,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,19,978393,0.93306827545166016,0.099945444,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,20,955191,0.91094112396240234,0.134570282,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,21,927783,0.88480281829833984,0.176572114,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,22,895762,0.85426521301269531,0.227244060,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,23,859806,0.81997489929199219,0.286348348,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,24,819790,0.78181266784667969,0.355105134,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,25,776521,0.74054813385009766,0.433334585,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,26,730530,0.69668769836425781,0.521416005,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,27,682208,0.65060424804687500,0.620147853,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,28,632360,0.60306549072265625,0.729613413,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,29,581963,0.55500316619873047,0.849432093,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,30,531841,0.50720310211181641,0.979364526,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,31,482875,0.46050548553466797,1.118709753,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,32,435587,0.41540813446044922,1.267398628,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,33,390096,0.37202453613281250,1.426530320,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,34,347005,0.33092975616455078,1.595403075,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,35,306343,0.29215145111083984,1.775211640,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,36,268217,0.25579166412353516,1.966958845,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,37,233285,0.22247791290283203,2.168265979,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,38,201555,0.19221782684326172,2.379185953,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,39,173052,0.16503524780273438,2.599153910,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,40,147375,0.14054775238037109,2.830867712,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,41,124466,0.11870002746582031,3.074607826,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,42,104222,0.09939384460449219,3.330699680,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,43,86611,0.08259868621826172,3.597737355,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,44,71553,0.06823825836181641,3.873275364,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,45,58740,0.05601882934570312,4.157944355,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,46,48150,0.04591941833496094,4.444751822,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,47,39142,0.03732872009277344,4.743570147,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,48,31743,0.03027248382568359,5.045849138,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,49,25553,0.02436923980712891,5.358794943,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,50,20258,0.01931953430175781,5.693795871,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,51,15879,0.01514339447021484,6.045167561,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,52,12372,0.01179885864257812,6.405208882,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,53,9647,0.00920009613037109,6.764135349,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,54,7602,0.00724983215332031,7.107836690,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,55,5966,0.00568962097167969,7.457451738,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,56,4721,0.00450229644775391,7.795123232,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,57,3794,0.00361824035644531,8.110496037,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,58,3063,0.00292110443115234,8.419270348,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,59,2517,0.00240039825439453,8.702510499,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,60,2092,0.00199508666992188,8.969332864,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,61,1718,0.00163841247558594,9.253485679,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,62,1382,0.00131797790527344,9.567458100,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,63,1099,0.00104808807373047,9.898024329,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,64,862,0.00082206726074219,10.248455941,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,65,669,0.00063800811767578,10.614137599,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,66,499,0.00047588348388672,11.037103995,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,67,358,0.00034141540527344,11.516184223,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,68,226,0.00021553039550781,12.179821038,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,69,136,0.00012969970703125,12.912537159,fixed,1,access-plus-rate-deterministic,2,8
2,8,1,32768,2097152,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,70,87,0.00008296966552734,13.557056504,fixed,1,access-plus-rate-deterministic,2,8
