b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,0,188579,0.17984294891357422,2.475190498,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,1,71300,0.06799697875976562,3.878385544,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,2,27217,0.02595615386962891,5.267779566,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,3,10324,0.00984573364257812,6.666285574,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,4,3814,0.00363731384277344,8.102910872,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,5,1376,0.00131225585937500,9.573735245,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,6,489,0.00046634674072266,11.066309345,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,7,134,0.00012779235839844,12.933910810,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,8,30,0.00002861022949219,15.093109404,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,9,7,0.00000667572021484,17.192645078,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,10,2,0.00000190734863281,19.000000000,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,post,11,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,1,188579,0.17984294891357422,2.475190498,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,2,71300,0.06799697875976562,3.878385544,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,3,27217,0.02595615386962891,5.267779566,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,4,10324,0.00984573364257812,6.666285574,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,5,3814,0.00363731384277344,8.102910872,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,6,1376,0.00131225585937500,9.573735245,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,7,489,0.00046634674072266,11.066309345,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,8,134,0.00012779235839844,12.933910810,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,9,30,0.00002861022949219,15.093109404,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,10,7,0.00000667572021484,17.192645078,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,11,2,0.00000190734863281,19.000000000,fixed,1,access-plus-rate-deterministic,5,2
2,1,1,32768,2097152,1048576,cycle,1,random,os-getrandom,random-old-and-new-paths,insertion,12,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,5,2
