b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,0,295251,0.28157329559326172,1.828417580,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,1,39222,0.03740501403808594,4.740624517,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,2,9587,0.00914287567138672,6.773136283,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,3,2604,0.00248336791992188,8.653486267,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,4,614,0.00058555603027344,10.737905155,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,5,133,0.00012683868408203,12.944717564,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,6,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,7,12,0.00001144409179688,16.415037499,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,8,3,0.00000286102294922,18.415037499,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,post,9,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,1,295251,0.28157329559326172,1.828417580,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,2,39222,0.03740501403808594,4.740624517,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,3,9587,0.00914287567138672,6.773136283,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,4,2604,0.00248336791992188,8.653486267,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,5,614,0.00058555603027344,10.737905155,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,6,133,0.00012683868408203,12.944717564,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,7,28,0.00002670288085938,15.192645078,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,8,12,0.00001144409179688,16.415037499,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,9,3,0.00000286102294922,18.415037499,fixed,1,access-plus-rate-deterministic,11,8
2,2,1,131072,4194304,1048576,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,10,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,11,8
