b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,1,1048528,0.99995422363281250,0.000066043,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,2,1048119,0.99956417083740234,0.000628906,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,3,1046112,0.99765014648437500,0.003394111,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,4,1039498,0.99134254455566406,0.012544448,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,5,1022740,0.97536087036132812,0.035992000,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,6,988496,0.94270324707031250,0.085124398,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,7,929611,0.88654613494873047,0.173732385,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,8,843053,0.80399799346923828,0.314736194,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,9,731653,0.69775867462158203,0.519199940,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,10,603510,0.57555198669433594,0.796981849,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,11,471628,0.44977951049804688,1.152710154,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,12,349612,0.33341598510742188,1.584604821,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,1024,262144,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,13,245416,0.23404693603515625,2.095130216,fixed,1,access-plus-rate-deterministic,2,16
