b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,0,1048575,0.99999904632568359,0.000001376,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,1,1048557,0.99998188018798828,0.000026142,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,2,1048491,0.99991893768310547,0.000116953,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,3,1048209,0.99965000152587891,0.000505029,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,4,1046936,0.99843597412109375,0.002258179,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,5,1043209,0.99488162994384766,0.007403209,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,6,1034195,0.98628520965576172,0.019923196,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,7,1016633,0.96953678131103516,0.044632464,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,8,986436,0.94073867797851562,0.088134074,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,9,940058,0.89650917053222656,0.157609754,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,10,877057,0.83642673492431641,0.257688919,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,11,797426,0.76048469543457031,0.395008881,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,12,705028,0.67236709594726562,0.572678971,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,13,605618,0.57756233215332031,0.791951440,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,14,504923,0.48153209686279297,1.054296130,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,15,408470,0.38954734802246094,1.360129402,fixed,1,access-plus-rate-deterministic,2,16
2,16,1,8192,1048576,1048576,cycle,16,random,os-getrandom,random-old-and-new-paths,post,16,321225,0.30634403228759766,1.706775348,fixed,1,access-plus-rate-deterministic,2,16
