b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,0,591755,0.56434154510498047,0.825359535,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,1,64196,0.06122207641601562,4.029804213,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,2,5445,0.00519275665283203,7.589283666,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,3,570,0.00054359436035156,10.845181891,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,4,48,0.00004577636718750,14.415037499,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,5,4,0.00000381469726562,18.000000000,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,post,6,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,1,591754,0.56434059143066406,0.825361973,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,2,64196,0.06122207641601562,4.029804213,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,3,5445,0.00519275665283203,7.589283666,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,4,570,0.00054359436035156,10.845181891,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,5,48,0.00004577636718750,14.415037499,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,6,4,0.00000381469726562,18.000000000,fixed,1,access-plus-rate-deterministic,4,4
2,4,1,8192,1048576,1048576,cycle,4,random,os-getrandom,random-old-and-new-paths,insertion,7,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,4,4
