b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,0,1048502,0.99992942810058594,0.000101817,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,1,1047578,0.99904823303222656,0.001373763,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,2,1042265,0.99398136138916016,0.008709295,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,3,1023239,0.97583675384521484,0.035288273,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,4,976574,0.93133354187011719,0.102630157,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,5,891417,0.85012149810791016,0.234259051,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,6,768216,0.73262786865234375,0.448847514,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,7,620627,0.59187602996826172,0.756633064,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,8,468859,0.44713878631591797,1.161205399,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,9,331676,0.31631088256835938,1.660584903,fixed,1,access-plus-rate-deterministic,1,4
2,8,1,1024,262144,1048576,cycle,8,random,os-getrandom,random-old-and-new-paths,post,10,220581,0.21036243438720703,2.249050997,fixed,1,access-plus-rate-deterministic,1,4
