b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,0,1756841,0.83772706985473633,0.255447802,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,1,1029623,0.49096250534057617,1.026315244,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,2,600061,0.28613138198852539,1.805250358,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,3,372768,0.17774963378906250,2.492081507,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,4,246446,0.11751461029052734,3.089087960,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,5,171105,0.08158922195434570,3.615477607,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,6,122984,0.05864334106445312,4.091888890,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,7,90089,0.04295778274536133,4.540936659,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,8,66800,0.03185272216796875,4.972439518,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,9,49761,0.02372789382934570,5.397272142,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,10,37108,0.01769447326660156,5.820557374,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,11,27633,0.01317644119262695,6.245895422,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,12,20348,0.00970268249511719,6.687400621,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,13,15020,0.00716209411621094,7.125402808,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,14,11224,0.00535202026367188,7.545700706,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,15,8423,0.00401639938354492,7.959881549,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,16,6267,0.00298833847045898,8.386440722,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,17,4566,0.00217723846435547,8.843284856,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,18,3357,0.00160074234008789,9.287043178,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,19,2506,0.00119495391845703,9.708829301,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,20,1843,0.00087881088256836,10.152159644,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,21,1373,0.00065469741821289,10.576884090,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,22,978,0.00046634674072266,11.066309345,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,23,705,0.00033617019653320,11.538520553,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,24,499,0.00023794174194336,12.037103995,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,25,352,0.00016784667968750,12.540568381,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,26,260,0.00012397766113281,12.977632187,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,27,194,0.00009250640869141,13.400087158,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,28,136,0.00006484985351562,13.912537159,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,29,86,0.00004100799560547,14.573735245,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,30,61,0.00002908706665039,15.069262662,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,31,43,0.00002050399780273,15.573735245,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,32,26,0.00001239776611328,16.299560282,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,33,18,0.00000858306884766,16.830074999,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,34,14,0.00000667572021484,17.192645078,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,35,9,0.00000429153442383,17.830074999,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,36,5,0.00000238418579102,18.678071905,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,37,3,0.00000143051147461,19.415037499,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,38,1,0.00000047683715820,21.000000000,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,post,39,0,0.00000000000000000,inf,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,0,2097152,1.00000000000000000,-0.000000000,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,1,1756841,0.83772706985473633,0.255447802,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,2,1029623,0.49096250534057617,1.026315244,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,3,600061,0.28613138198852539,1.805250358,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,4,372768,0.17774963378906250,2.492081507,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,5,246446,0.11751461029052734,3.089087960,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,6,171106,0.08158969879150391,3.615469175,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,7,122985,0.05864381790161133,4.091877159,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,8,90090,0.04295825958251953,4.540920645,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,9,66800,0.03185272216796875,4.972439518,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,10,49761,0.02372789382934570,5.397272142,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,11,37108,0.01769447326660156,5.820557374,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,12,27633,0.01317644119262695,6.245895422,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,13,20348,0.00970268249511719,6.687400621,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,14,15020,0.00716209411621094,7.125402808,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,15,11224,0.00535202026367188,7.545700706,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,16,8423,0.00401639938354492,7.959881549,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,17,6267,0.00298833847045898,8.386440722,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,18,4566,0.00217723846435547,8.843284856,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,19,3357,0.00160074234008789,9.287043178,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,20,2506,0.00119495391845703,9.708829301,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,21,1843,0.00087881088256836,10.152159644,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,22,1373,0.00065469741821289,10.576884090,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,23,978,0.00046634674072266,11.066309345,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,24,705,0.00033617019653320,11.538520553,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,25,499,0.00023794174194336,12.037103995,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,26,352,0.00016784667968750,12.540568381,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,27,260,0.00012397766113281,12.977632187,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,28,194,0.00009250640869141,13.400087158,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,29,136,0.00006484985351562,13.912537159,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,30,86,0.00004100799560547,14.573735245,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,31,61,0.00002908706665039,15.069262662,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,32,43,0.00002050399780273,15.573735245,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,33,26,0.00001239776611328,16.299560282,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,34,18,0.00000858306884766,16.830074999,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,35,14,0.00000667572021484,17.192645078,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,36,9,0.00000429153442383,17.830074999,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,37,5,0.00000238418579102,18.678071905,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,38,3,0.00000143051147461,19.415037499,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,39,1,0.00000047683715820,21.000000000,fixed,2
2,1,5,262144,4194304,2097152,cycle,5,shared,os-getrandom,random-old-and-new-paths,insertion,40,0,0.00000000000000000,inf,fixed,2
