b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,0,1429288,0.68153762817382812,0.553134783,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,1,509412,0.24290657043457031,2.041526581,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,2,182028,0.08679771423339844,3.526199139,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,3,65867,0.03140783309936523,4.992731778,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,4,24236,0.01155662536621094,6.435136010,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,5,9074,0.00432682037353516,7.852477056,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,6,3457,0.00164842605590820,9.244695112,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,7,1387,0.00066137313842773,10.562247928,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,8,579,0.00027608871459961,11.822580462,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,9,215,0.00010251998901367,13.251807150,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,10,87,0.00004148483276367,14.557056504,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,11,31,0.00001478195190430,16.045803690,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,12,10,0.00000476837158203,17.678071905,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,13,3,0.00000143051147461,19.415037499,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,14,1,0.00000047683715820,21.000000000,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,post,15,0,0.00000000000000000,inf,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,0,2097152,1.00000000000000000,-0.000000000,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,1,1429289,0.68153810501098633,0.553133774,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,2,509412,0.24290657043457031,2.041526581,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,3,182028,0.08679771423339844,3.526199139,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,4,65867,0.03140783309936523,4.992731778,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,5,24236,0.01155662536621094,6.435136010,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,6,9074,0.00432682037353516,7.852477056,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,7,3457,0.00164842605590820,9.244695112,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,8,1387,0.00066137313842773,10.562247928,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,9,579,0.00027608871459961,11.822580462,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,10,215,0.00010251998901367,13.251807150,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,11,87,0.00004148483276367,14.557056504,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,12,31,0.00001478195190430,16.045803690,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,13,10,0.00000476837158203,17.678071905,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,14,3,0.00000143051147461,19.415037499,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,15,1,0.00000047683715820,21.000000000,fixed,2
2,3,2,262144,4194304,2097152,cycle,6,shared,os-getrandom,random-old-and-new-paths,insertion,16,0,0.00000000000000000,inf,fixed,2
