b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,0,2096564,0.99971961975097656,0.000404560,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,1,2091587,0.99734640121459961,0.003833422,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,2,2077543,0.99064970016479492,0.013553093,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,3,2054421,0.97962427139282227,0.029699576,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,4,2024603,0.96540594100952148,0.050792390,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,5,1989768,0.94879531860351562,0.075831203,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,6,1950685,0.93015909194946289,0.104450603,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,7,1907894,0.90975475311279297,0.136450411,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,8,1861846,0.88779735565185547,0.171697683,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,9,1811904,0.86398315429687500,0.210924911,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,10,1759074,0.83879184722900391,0.253615256,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,11,1703171,0.81213521957397461,0.300208140,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,12,1644879,0.78433942794799805,0.350449970,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,13,1584122,0.75536823272705078,0.404747983,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,14,1521584,0.72554779052734375,0.462857450,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,15,1457521,0.69500017166137695,0.524914761,fixed,3
